,movieid,Cluster,title
258,270,156,Love Affair (1994)
259,271,177,Losing Isaiah (1995)
260,272,135,"Madness of King George, The (1994)"
261,273,77,Mary Shelley's Frankenstein (Frankenstein) (1994)
262,274,57,Man of the House (1995)
263,275,134,Mixed Nuts (1994)
264,276,51,Milk Money (1994)
265,277,181,Miracle on 34th Street (1994)
266,278,176,Miami Rhapsody (1995)
267,279,190,My Family (1995)
268,280,143,Murder in the First (1995)
269,281,143,Nobody's Fool (1994)
270,282,163,Nell (1994)
271,283,174,New Jersey Drive (1995)
272,285,175,Beyond Bedlam (1993)
273,286,11,Nemesis 2: Nebula (1995)
274,287,24,Nina Takes a Lover (1994)
275,288,100,Natural Born Killers (1994)
276,289,40,Only You (1994)
277,290,20,Once Were Warriors (1994)
278,292,145,Outbreak (1995)
279,293,82,Léon: The Professional (a.k.a. The Professional) (Léon) (1994)
280,294,145,"Perez Family, The (1995)"
281,295,100,"Pyromaniac's Love Story, A (1995)"
282,296,143,Pulp Fiction (1994)
283,297,135,Panther (1995)
284,298,14,Pushing Hands (Tui shou) (1992)
285,299,119,Priest (1994)
286,300,24,Quiz Show (1994)
287,301,75,Picture Bride (Bijo photo) (1994)
288,302,176,"Queen Margot (Reine Margot, La) (1994)"
289,303,131,"Quick and the Dead, The (1995)"
290,304,26,Roommates (1995)
291,305,88,Ready to Wear (Pret-A-Porter) (1994)
292,306,30,Three Colors: Red (Trois couleurs: Rouge) (1994)
293,307,172,Three Colors: Blue (Trois couleurs: Bleu) (1993)
294,308,88,Three Colors: White (Trzy kolory: Bialy) (1994)
295,309,2,"Red Firecracker, Green Firecracker (Pao Da Shuang Deng) (1994)"
296,310,98,Rent-a-Kid (1995)
297,311,180,Relative Fear (1994)
298,312,1,Stuart Saves His Family (1995)
299,313,104,"Swan Princess, The (1994)"
300,314,176,"Secret of Roan Inish, The (1994)"
301,315,135,"Specialist, The (1994)"
302,316,175,Stargate (1994)
303,317,81,"Santa Clause, The (1994)"
304,318,98,"Shawshank Redemption, The (1994)"
305,319,184,Shallow Grave (1994)
306,320,110,Suture (1993)
307,321,199,Strawberry and Chocolate (Fresa y chocolate) (1993)
308,322,2,Swimming with Sharks (1995)
309,324,86,"Sum of Us, The (1994)"
310,325,199,National Lampoon's Senior Trip (1995)
311,326,2,To Live (Huozhe) (1994)
312,327,112,Tank Girl (1995)
313,328,116,Tales from the Crypt Presents: Demon Knight (1995)
314,329,98,Star Trek: Generations (1994)
315,330,76,Tales from the Hood (1995)
316,331,60,Tom & Viv (1994)
317,332,16,Village of the Damned (1995)
318,333,107,Tommy Boy (1995)
319,334,169,Vanya on 42nd Street (1994)
320,335,162,Underneath (1995)
321,336,2,"Walking Dead, The (1995)"
322,337,2,What's Eating Gilbert Grape (1993)
323,338,64,Virtuosity (1995)
324,339,20,While You Were Sleeping (1995)
325,340,8,"War, The (1994)"
326,341,154,Double Happiness (1994)
327,342,22,Muriel's Wedding (1994)
328,343,76,"Baby-Sitters Club, The (1995)"
329,344,179,Ace Ventura: Pet Detective (1994)
330,345,58,"Adventures of Priscilla, Queen of the Desert, The (1994)"
331,346,22,Backbeat (1993)
332,347,116,Bitter Moon (1992)
333,348,28,Bullets Over Broadway (1994)
334,349,140,Clear and Present Danger (1994)
335,350,9,"Client, The (1994)"
336,351,47,"Corrina, Corrina (1994)"
337,352,131,Crooklyn (1994)
338,353,131,"Crow, The (1994)"
339,354,113,Cobb (1994)
340,355,98,"Flintstones, The (1994)"
341,356,80,Forrest Gump (1994)
342,357,112,Four Weddings and a Funeral (1994)
343,358,6,Higher Learning (1995)
344,359,8,I Like It Like That (1994)
345,360,2,I Love Trouble (1994)
346,361,19,It Could Happen to You (1994)
347,362,46,"Jungle Book, The (1994)"
348,363,86,"Wonderful, Horrible Life of Leni Riefenstahl, The (Macht der Bilder: Leni Riefenstahl, Die) (1993)"
349,364,89,"Lion King, The (1994)"
350,365,46,Little Buddha (1993)
351,366,51,"Wes Craven's New Nightmare (Nightmare on Elm Street Part 7: Freddy's Finale, A) (1994)"
352,367,20,"Mask, The (1994)"
353,368,40,Maverick (1994)
354,369,177,Mrs. Parker and the Vicious Circle (1994)
355,370,97,Naked Gun 33 1/3: The Final Insult (1994)
356,371,76,"Paper, The (1994)"
357,372,78,Reality Bites (1994)
358,373,76,Red Rock West (1992)
359,374,199,Richie Rich (1994)
360,375,160,Safe Passage (1994)
361,376,20,"River Wild, The (1994)"
362,377,155,Speed (1994)
363,378,77,Speechless (1994)
364,379,183,Timecop (1994)
365,380,135,True Lies (1994)
366,381,96,When a Man Loves a Woman (1994)
367,382,3,Wolf (1994)
368,383,96,Wyatt Earp (1994)
369,384,77,Bad Company (1995)
370,385,3,"Man of No Importance, A (1994)"
371,386,42,S.F.W. (1994)
372,387,27,"Low Down Dirty Shame, A (1994)"
373,388,111,Boys Life (1995)
374,389,54,"Colonel Chabert, Le (1994)"
375,390,98,Faster Pussycat! Kill! Kill! (1965)
376,391,100,Jason's Lyric (1994)
377,392,14,"Secret Adventures of Tom Thumb, The (1993)"
378,393,143,Street Fighter (1994)
379,394,58,Coldblooded (1995)
380,397,10,"Fear, The (1995)"
381,398,14,Frank and Ollie (1995)
382,402,192,Open Season (1996)
383,404,184,Brother Minister: The Assassination of Malcolm X (1994)
384,405,37,Highlander III: The Sorcerer (a.k.a. Highlander: The Final Dimension) (1994)
385,406,62,Federal Hill (1994)
386,407,128,In the Mouth of Madness (1995)
387,408,98,8 Seconds (1994)
388,409,153,Above the Rim (1994)
389,410,128,Addams Family Values (1993)
390,411,103,Martin Lawrence: You So Crazy (1994)
391,412,58,"Age of Innocence, The (1993)"
392,413,46,Airheads (1994)
393,414,12,"Air Up There, The (1994)"
394,415,67,Another Stakeout (1993)
395,416,14,Bad Girls (1994)
396,417,58,Barcelona (1994)
397,418,143,Being Human (1993)
398,419,22,"Beverly Hillbillies, The (1993)"
399,420,99,Beverly Hills Cop III (1994)
400,421,46,Black Beauty (1994)
401,422,189,Blink (1994)
402,423,147,Blown Away (1994)
403,424,14,Blue Chips (1994)
404,425,100,Blue Sky (1994)
405,426,153,Body Snatchers (1993)
406,427,172,Boxing Helena (1993)
407,428,98,"Bronx Tale, A (1993)"
408,429,149,Cabin Boy (1994)
409,430,185,Calendar Girl (1993)
410,431,2,Carlito's Way (1993)
411,432,86,City Slickers II: The Legend of Curly's Gold (1994)
412,433,169,Clean Slate (1994)
413,434,114,Cliffhanger (1993)
414,435,125,Coneheads (1993)
415,436,13,Color of Night (1994)
416,437,103,Cops and Robbersons (1994)
417,438,78,"Cowboy Way, The (1994)"
418,439,143,Dangerous Game (1993)
419,440,105,Dave (1993)
420,441,58,Dazed and Confused (1993)
421,442,168,Demolition Man (1993)
422,443,78,"Endless Summer 2, The (1994)"
423,444,199,Even Cowgirls Get the Blues (1993)
424,445,98,Fatal Instinct (1993)
425,446,67,Farewell My Concubine (Ba wang bie ji) (1993)
426,447,22,"Favor, The (1994)"
427,448,59,Fearless (1993)
428,449,14,Fear of a Black Hat (1994)
429,450,74,With Honors (1994)
430,451,143,Flesh and Bone (1993)
431,452,14,Widows' Peak (1994)
432,453,169,For Love or Money (1993)
433,454,128,"Firm, The (1993)"
434,455,111,Free Willy (1993)
435,456,156,Fresh (1994)
436,457,3,"Fugitive, The (1993)"
437,458,192,Geronimo: An American Legend (1993)
438,459,106,"Getaway, The (1994)"
439,460,129,Getting Even with Dad (1994)
440,461,177,Go Fish (1994)
441,462,52,"Good Man in Africa, A (1994)"
442,463,114,Guilty as Sin (1993)
443,464,46,Hard Target (1993)
444,465,58,Heaven & Earth (1993)
445,466,103,Hot Shots! Part Deux (1993)
446,467,57,Live Nude Girls (1995)
447,468,143,"Englishman Who Went Up a Hill But Came Down a Mountain, The (1995)"
448,469,29,"House of the Spirits, The (1993)"
449,470,197,House Party 3 (1994)
450,471,121,"Hudsucker Proxy, The (1994)"
451,472,125,I'll Do Anything (1994)
452,473,46,In the Army Now (1994)
453,474,16,In the Line of Fire (1993)
454,475,113,In the Name of the Father (1993)
455,476,94,"Inkwell, The (1994)"
456,477,51,What's Love Got to Do with It? (1993)
457,478,105,Jimmy Hollywood (1994)
458,479,131,Judgment Night (1993)
459,480,134,Jurassic Park (1993)
460,481,8,Kalifornia (1993)
461,482,3,Killing Zoe (1994)
462,483,78,King of the Hill (1993)
463,484,153,Lassie (1994)
464,485,136,Last Action Hero (1993)
465,486,125,Life with Mikey (1993)
466,487,31,Lightning Jack (1994)
467,488,63,M. Butterfly (1993)
468,489,20,Made in America (1993)
469,490,27,Malice (1993)
470,491,37,"Man Without a Face, The (1993)"
471,492,54,Manhattan Murder Mystery (1993)
472,493,54,Menace II Society (1993)
473,494,100,Executive Decision (1996)
474,495,27,In the Realm of the Senses (Ai no corrida) (1976)
475,496,162,What Happened Was... (1994)
476,497,137,Much Ado About Nothing (1993)
477,498,77,Mr. Jones (1993)
478,499,98,Mr. Wonderful (1993)
479,500,6,Mrs. Doubtfire (1993)
480,501,125,Naked (1993)
481,502,172,"Next Karate Kid, The (1994)"
482,503,149,"New Age, The (1994)"
483,504,125,No Escape (1994)
484,505,172,North (1994)
485,506,167,Orlando (1992)
486,507,58,"Perfect World, A (1993)"
487,508,149,Philadelphia (1993)
488,509,116,"Piano, The (1993)"
489,510,135,Poetic Justice (1993)
490,511,133,"Program, The (1993)"
491,512,0,"Puppet Masters, The (1994)"
492,513,113,Radioland Murders (1994)
493,514,197,"Ref, The (1994)"
494,515,130,"Remains of the Day, The (1993)"
495,516,113,Renaissance Man (1994)
496,517,22,Rising Sun (1993)
497,518,162,"Road to Wellville, The (1994)"
498,519,182,RoboCop 3 (1993)
499,520,36,Robin Hood: Men in Tights (1993)
500,521,54,Romeo Is Bleeding (1993)
501,522,78,Romper Stomper (1992)
502,523,77,Ruby in Paradise (1993)
503,524,78,Rudy (1993)
504,525,75,"Saint of Fort Washington, The (1993)"
505,526,139,"Savage Nights (Nuits fauves, Les) (1992)"
506,527,105,Schindler's List (1993)
507,528,41,"Scout, The (1994)"
508,529,131,Searching for Bobby Fischer (1993)
509,531,162,"Secret Garden, The (1993)"
510,532,163,Serial Mom (1994)
511,533,85,"Shadow, The (1994)"
512,534,55,Shadowlands (1993)
513,535,130,Short Cuts (1993)
514,536,6,"Simple Twist of Fate, A (1994)"
515,537,175,Sirens (1994)
516,538,197,Six Degrees of Separation (1993)
517,539,153,Sleepless in Seattle (1993)
518,540,42,Sliver (1993)
519,541,179,Blade Runner (1982)
520,542,137,Son in Law (1993)
521,543,179,So I Married an Axe Murderer (1993)
522,544,143,Striking Distance (1993)
523,546,2,Super Mario Bros. (1993)
524,547,97,Surviving the Game (1994)
525,548,175,Terminal Velocity (1994)
526,549,8,Thirty-Two Short Films About Glenn Gould (1993)
527,550,114,Threesome (1994)
528,551,20,"Nightmare Before Christmas, The (1993)"
529,552,28,"Three Musketeers, The (1993)"
530,553,97,Tombstone (1993)
531,554,68,Trial by Jury (1994)
532,555,54,True Romance (1993)
533,556,131,"War Room, The (1993)"
534,558,127,"Pagemaster, The (1994)"
535,559,106,"Paris, France (1993)"
536,561,15,Killer (Bulletproof Heart) (1994)
537,562,141,Welcome to the Dollhouse (1995)
538,563,127,Germinal (1993)
539,564,127,Chasers (1994)
540,565,127,Cronos (1993)
541,566,86,Naked in New York (1994)
542,567,54,Kika (1993)
543,568,50,Bhaji on the Beach (1993)
544,569,183,Little Big League (1994)
545,570,97,"Slingshot, The (Kådisbellan) (1993)"
546,571,28,"Wedding Gift, The (1994)"
547,573,86,"Ciao, Professore! (Io speriamo che me la cavo) (1992)"
548,574,135,Spanking the Monkey (1994)
549,575,163,"Little Rascals, The (1994)"
550,577,159,Andre (1994)
551,580,59,Princess Caraboo (1994)
552,581,76,"Celluloid Closet, The (1995)"
553,582,24,Métisse (Café au Lait) (1993)
554,583,7,Dear Diary (Caro Diario) (1994)
555,585,143,"Brady Bunch Movie, The (1995)"
556,586,143,Home Alone (1990)
557,587,175,Ghost (1990)
558,588,143,Aladdin (1992)
559,589,183,Terminator 2: Judgment Day (1991)
560,590,128,Dances with Wolves (1990)
561,592,119,Batman (1989)
562,593,72,"Silence of the Lambs, The (1991)"
563,594,179,Snow White and the Seven Dwarfs (1937)
564,595,153,Beauty and the Beast (1991)
565,596,2,Pinocchio (1940)
566,597,14,Pretty Woman (1990)
567,598,86,Window to Paris (Okno v Parizh) (1994)
568,599,67,"Wild Bunch, The (1969)"
569,600,162,Love and a .45 (1994)
570,601,8,"Wooden Man's Bride, The (Yan shen) (1994)"
571,602,5,"Great Day in Harlem, A (1994)"
572,603,123,"Bye Bye, Love (1995)"
573,605,24,One Fine Day (1996)
574,606,197,Candyman: Farewell to the Flesh (1995)
575,608,135,Fargo (1996)
576,609,133,Homeward Bound II: Lost in San Francisco (1996)
577,610,143,Heavy Metal (1981)
578,611,60,Hellraiser: Bloodline (1996)
579,612,110,"Pallbearer, The (1996)"
580,613,10,Jane Eyre (1996)
581,614,55,Loaded (1994)
582,615,168,Bread and Chocolate (Pane e cioccolata) (1973)
583,616,98,"Aristocats, The (1970)"
584,617,3,"Flower of My Secret, The (La flor de mi secreto) (1995)"
585,618,139,Two Much (1995)
586,619,57,Ed (1996)
587,621,71,My Favorite Season (1993)
588,626,144,"Thin Line Between Love and Hate, A (1996)"
589,627,179,"Last Supper, The (1995)"
590,628,34,Primal Fear (1996)
591,630,96,Carried Away (1996)
592,631,111,All Dogs Go to Heaven 2 (1996)
593,632,184,Land and Freedom (Tierra y libertad) (1995)
594,633,143,Denise Calls Up (1995)
595,634,24,Theodore Rex (1995)
596,635,86,"Family Thing, A (1996)"
597,637,78,Sgt. Bilko (1996)
598,638,162,Jack and Sarah (1995)
599,639,130,Girl 6 (1996)
600,640,183,Diabolique (1996)
601,641,130,"Little Indian, Big City (Un indien dans la ville) (1994)"
602,645,3,Nelly & Monsieur Arnaud (1995)
603,647,74,Courage Under Fire (1996)
604,648,143,Mission: Impossible (1996)
605,649,6,Cold Fever (Á köldum klaka) (1995)
606,650,22,Moll Flanders (1996)
607,651,127,"Superweib, Das (1996)"
608,652,143,"301, 302 (301/302) (1995)"
609,653,114,Dragonheart (1996)
610,656,82,Eddie (1996)
611,658,137,Billy's Holiday (1995)
612,659,97,Purple Noon (Plein soleil) (1960)
613,660,14,August (1996)
614,661,36,James and the Giant Peach (1996)
615,662,39,Fear (1996)
616,663,96,Kids in the Hall: Brain Candy (1996)
617,664,104,Faithful (1996)
618,665,14,Underground (1995)
619,666,20,All Things Fair (Lust och fägring stor) (1995)
620,667,54,Bloodsport 2 (a.k.a. Bloodsport II: The Next Kumite) (1996)
621,668,136,Song of the Little Road (Pather Panchali) (1955)
622,670,162,"World of Apu, The (Apur Sansar) (1959)"
623,671,135,Mystery Science Theater 3000: The Movie (1996)
624,673,14,Space Jam (1996)
625,674,42,Barbarella (1968)
626,678,147,Some Folks Call It a Sling Blade (1993)
627,679,14,"Run of the Country, The (1995)"
628,680,39,"Alphaville (Alphaville, une étrange aventure de Lemmy Caution) (1965)"
629,681,173,Coup de torchon (Clean Slate) (1981)
630,682,14,Tigrero: A Film That Was Never Made (1994)
631,685,84,It's My Party (1996)
632,687,114,Country Life (1994)
633,688,116,Operation Dumbo Drop (1995)
634,690,145,"Promise, The (Versprechen, Das) (1995)"
635,691,96,Mrs. Winterbourne (1996)
636,692,72,Solo (1996)
637,694,153,"Substitute, The (1996)"
638,695,165,True Crime (1996)
639,696,113,Butterfly Kiss (1995)
640,697,143,Feeling Minnesota (1996)
641,698,113,Delta of Venus (1995)
642,700,96,Angus (1995)
643,701,97,Daens (1992)
644,702,87,Faces (1968)
645,703,62,Boys (1996)
646,704,67,"Quest, The (1996)"
647,705,118,Cosi (1996)
648,706,51,Sunset Park (1996)
649,707,73,Mulholland Falls (1996)
650,708,57,"Truth About Cats & Dogs, The (1996)"
651,709,168,Oliver & Company (1988)
652,710,127,Celtic Pride (1996)
653,711,98,Flipper (1996)
654,712,98,Captives (1994)
655,713,46,Of Love and Shadows (1994)
656,714,97,Dead Man (1995)
657,715,36,"Horseman on the Roof, The (Hussard sur le toit, Le) (1995)"
658,716,97,Switchblade Sisters (1975)
659,717,97,Mouth to Mouth (Boca a boca) (1995)
660,718,96,"Visitors, The (Visiteurs, Les) (1993)"
661,719,87,Multiplicity (1996)
662,720,5,Wallace & Gromit: The Best of Aardman Animation (1996)
663,722,97,"Haunted World of Edward D. Wood Jr., The (1996)"
664,724,89,"Craft, The (1996)"
665,725,104,"Great White Hype, The (1996)"
666,726,11,Last Dance (1996)
667,728,149,Cold Comfort Farm (1995)
668,729,112,"Institute Benjamenta, or This Dream People Call Human Life (1995)"
669,730,105,Low Life (1994)
670,731,128,Heaven's Prisoners (1996)
671,732,113,Original Gangstas (1996)
672,733,97,"Rock, The (1996)"
673,734,114,Getting Away With Murder (1996)
674,735,75,Cemetery Man (Dellamorte Dellamore) (1994)
675,736,8,Twister (1996)
676,737,14,Barb Wire (1996)
677,741,87,Ghost in the Shell (Kôkaku kidôtai) (1995)
678,742,97,Thinner (1996)
679,743,87,Spy Hard (1996)
680,745,3,Wallace & Gromit: A Close Shave (1995)
681,746,116,Force of Evil (1948)
682,747,14,"Stupids, The (1996)"
683,748,36,"Arrival, The (1996)"
684,750,169,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964)
685,751,14,Careful (1992)
686,753,111,"Month by the Lake, A (1995)"
