,movieid,Cluster,title,genres
78,80,138,"White Balloon, The (Badkonake sefid) (1995)",Children|Drama
79,81,60,Things to Do in Denver When You're Dead (1995),Crime|Drama|Romance
80,82,100,Antonia's Line (Antonia) (1995),Comedy|Drama
81,83,67,Once Upon a Time... When We Were Colored (1995),Drama|Romance
82,84,42,Last Summer in the Hamptons (1995),Comedy|Drama
83,85,21,Angels and Insects (1995),Drama|Romance
84,86,57,White Squall (1996),Action|Adventure|Drama
85,87,110,Dunston Checks In (1996),Children|Comedy
86,88,83,Black Sheep (1996),Comedy
87,89,52,Nick of Time (1995),Action|Thriller
88,90,42,The Journey of August King (1995),Drama
89,92,42,Mary Reilly (1996),Drama|Horror|Thriller
90,93,151,Vampire in Brooklyn (1995),Comedy|Horror|Romance
91,94,174,Beautiful Girls (1996),Comedy|Drama|Romance
92,95,33,Broken Arrow (1996),Action|Adventure|Thriller
93,96,181,In the Bleak Midwinter (1995),Comedy|Drama
94,97,129,"Hate (Haine, La) (1995)",Crime|Drama
95,98,42,Shopping (1994),Action|Thriller
96,99,68,Heidi Fleiss: Hollywood Madam (1995),Documentary
97,100,48,City Hall (1996),Drama|Thriller
98,101,117,Bottle Rocket (1996),Adventure|Comedy|Crime|Romance
99,102,84,Mr. Wrong (1996),Comedy
100,103,32,Unforgettable (1996),Mystery|Sci-Fi|Thriller
101,104,119,Happy Gilmore (1996),Comedy
102,105,4,"Bridges of Madison County, The (1995)",Drama|Romance
103,106,138,Nobody Loves Me (Keiner liebt mich) (1994),Comedy|Drama
104,107,91,Muppet Treasure Island (1996),Adventure|Children|Comedy|Musical
105,108,192,Catwalk (1996),Documentary
106,110,105,Braveheart (1995),Action|Drama|War
107,111,81,Taxi Driver (1976),Crime|Drama|Thriller
108,112,34,Rumble in the Bronx (Hont faan kui) (1995),Action|Adventure|Comedy|Crime
109,113,32,Before and After (1996),Drama|Mystery
110,114,103,Margaret's Museum (1995),Drama
111,115,138,"Happiness Is in the Field (Bonheur est dans le pré, Le) (1995)",Comedy
112,116,65,Anne Frank Remembered (1995),Documentary
113,117,20,"Young Poisoner's Handbook, The (1995)",Crime|Drama
114,118,41,If Lucy Fell (1996),Comedy|Romance
115,119,32,"Steal Big, Steal Little (1995)",Comedy
116,120,110,Race the Sun (1996),Adventure|Comedy|Drama
117,121,150,"Boys of St. Vincent, The (1992)",Drama
118,122,84,Boomerang (1992),Comedy|Romance
119,123,46,Chungking Express (Chung Hing sam lam) (1994),Drama|Mystery|Romance
120,124,138,"Star Maker, The (Uomo delle stelle, L') (1995)",Drama
121,125,165,Flirting With Disaster (1996),Comedy
122,126,107,"NeverEnding Story III, The (1994)",Adventure|Children|Fantasy
123,127,42,"Silences of the Palace, The (Saimt el Qusur) (1994)",Drama
124,128,68,Jupiter's Wife (1994),Documentary
125,129,67,Pie in the Sky (1996),Comedy|Romance
126,131,67,Frankie Starlight (1995),Drama|Romance
127,132,52,Jade (1995),Thriller
128,135,125,Down Periscope (1996),Comedy
129,136,42,From the Journals of Jean Seberg (1995),Documentary
130,137,36,Man of the Year (1995),Documentary
131,138,2,"Neon Bible, The (1995)",Drama
132,140,4,Up Close and Personal (1996),Drama|Romance
133,141,36,"Birdcage, The (1996)",Comedy
134,144,67,"Brothers McMullen, The (1995)",Comedy
135,145,137,Bad Boys (1995),Action|Comedy|Crime|Drama|Thriller
136,146,110,"Amazing Panda Adventure, The (1995)",Adventure|Children
137,147,160,"Basketball Diaries, The (1995)",Drama
138,148,42,"Awfully Big Adventure, An (1995)",Drama
139,149,117,Amateur (1994),Crime|Drama|Thriller
140,150,156,Apollo 13 (1995),Adventure|Drama|IMAX
141,151,185,Rob Roy (1995),Action|Drama|Romance|War
142,152,151,"Addiction, The (1995)",Drama|Horror
143,153,87,Batman Forever (1995),Action|Adventure|Comedy|Crime
144,154,169,Beauty of the Day (Belle de jour) (1967),Drama
145,155,67,Beyond Rangoon (1995),Adventure|Drama|War
146,156,64,Blue in the Face (1995),Comedy|Drama
147,157,165,Canadian Bacon (1995),Comedy|War
148,158,110,Casper (1995),Adventure|Children
149,159,160,Clockers (1995),Crime|Drama|Mystery
150,160,99,Congo (1995),Action|Adventure|Mystery|Sci-Fi
151,161,115,Crimson Tide (1995),Drama|Thriller|War
152,162,169,Crumb (1994),Documentary
153,163,60,Desperado (1995),Action|Romance|Western
154,164,80,Devil in a Blue Dress (1995),Crime|Film-Noir|Mystery|Thriller
155,165,137,Die Hard: With a Vengeance (1995),Action|Crime|Thriller
156,166,193,"Doom Generation, The (1995)",Comedy|Crime|Drama
157,167,21,Feast of July (1995),Drama
158,168,142,First Knight (1995),Action|Drama|Romance
159,169,110,Free Willy 2: The Adventure Home (1995),Adventure|Children|Drama
160,170,101,Hackers (1995),Action|Adventure|Crime|Thriller
161,171,36,Jeffrey (1995),Comedy|Drama
162,172,22,Johnny Mnemonic (1995),Action|Sci-Fi|Thriller
163,173,86,Judge Dredd (1995),Action|Crime|Sci-Fi
164,174,84,Jury Duty (1995),Comedy
165,175,160,Kids (1995),Drama
166,176,165,Living in Oblivion (1995),Comedy
167,177,70,Lord of Illusions (1995),Horror
168,178,36,Love & Human Remains (1993),Comedy|Drama
169,179,192,Mad Love (1995),Drama|Romance
170,180,188,Mallrats (1995),Comedy|Romance
171,181,140,Mighty Morphin Power Rangers: The Movie (1995),Action|Children
172,182,41,Moonlight and Valentino (1995),Drama|Romance
173,183,32,Mute Witness (1994),Comedy|Horror|Thriller
174,184,151,Nadja (1994),Drama
175,185,101,"Net, The (1995)",Action|Crime|Thriller
176,186,41,Nine Months (1995),Comedy|Romance
177,187,42,Party Girl (1995),Comedy
178,188,73,"Prophecy, The (1995)",Fantasy|Horror|Mystery
179,189,38,Reckless (1995),Comedy|Fantasy
180,190,183,Safe (1995),Thriller
181,191,2,"Scarlet Letter, The (1995)",Drama|Romance
182,192,192,The Show (1995),Documentary
183,193,17,Showgirls (1995),Drama
184,194,74,Smoke (1995),Comedy|Drama
185,195,41,Something to Talk About (1995),Comedy|Drama|Romance
186,196,134,Species (1995),Horror|Sci-Fi
187,197,42,"Stars Fell on Henrietta, The (1995)",Drama
188,198,101,Strange Days (1995),Action|Crime|Drama|Mystery|Sci-Fi|Thriller
189,199,8,"Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les) (1964)",Drama|Musical|Romance
190,200,32,"Tie That Binds, The (1995)",Thriller
191,201,170,Three Wishes (1995),Drama|Fantasy
192,202,36,Total Eclipse (1995),Drama|Romance
193,203,36,"To Wong Foo, Thanks for Everything! Julie Newmar (1995)",Comedy
194,204,16,Under Siege 2: Dark Territory (1995),Action
195,205,103,Unstrung Heroes (1995),Comedy|Drama
196,206,42,Unzipped (1995),Documentary
197,207,82,"Walk in the Clouds, A (1995)",Drama|Romance
198,208,86,Waterworld (1995),Action|Adventure|Sci-Fi
199,209,192,White Man's Burden (1995),Drama
200,210,168,Wild Bill (1995),Western
201,211,21,"Browning Version, The (1994)",Drama
202,212,110,Bushwhacked (1995),Adventure|Comedy|Crime|Mystery
203,213,161,Burnt by the Sun (Utomlyonnye solntsem) (1994),Drama
204,214,138,Before the Rain (Pred dozhdot) (1994),Drama|War
205,215,74,Before Sunrise (1995),Drama|Romance
206,216,119,Billy Madison (1995),Comedy
207,217,32,"Babysitter, The (1995)",Drama|Thriller
208,218,36,Boys on the Side (1995),Comedy|Drama
209,219,57,"Cure, The (1995)",Drama
210,220,70,Castle Freak (1995),Horror
211,222,2,Circle of Friends (1995),Drama|Romance
212,223,188,Clerks (1994),Comedy
213,224,4,Don Juan DeMarco (1995),Comedy|Drama|Romance
214,225,52,Disclosure (1994),Drama|Thriller
215,227,16,Drop Zone (1994),Action|Thriller
216,228,111,Destiny Turns on the Radio (1995),Comedy
217,229,20,Death and the Maiden (1994),Drama|Thriller
218,230,103,Dolores Claiborne (1995),Drama|Thriller
219,231,119,Dumb & Dumber (Dumb and Dumber) (1994),Adventure|Comedy
220,232,0,Eat Drink Man Woman (Yin shi nan nu) (1994),Comedy|Drama|Romance
221,233,89,Exotica (1994),Drama
222,234,193,Exit to Eden (1994),Comedy
223,235,117,Ed Wood (1994),Comedy|Drama
224,236,82,French Kiss (1995),Action|Comedy|Romance
225,237,82,Forget Paris (1995),Comedy|Romance
226,238,170,Far From Home: The Adventures of Yellow Dog (1995),Adventure|Children
227,239,197,"Goofy Movie, A (1995)",Animation|Children|Comedy|Romance
228,240,2,Hideaway (1995),Thriller
229,241,170,Fluke (1995),Children|Drama
230,242,97,Farinelli: il castrato (1994),Drama|Musical
231,243,110,Gordy (1995),Children|Comedy|Fantasy
232,244,110,Gumby: The Movie (1995),Animation|Children
233,245,32,The Glass Shield (1994),Crime|Drama
234,246,66,Hoop Dreams (1994),Documentary
235,247,20,Heavenly Creatures (1994),Crime|Drama
236,248,84,Houseguest (1994),Comedy
237,249,93,Immortal Beloved (1994),Drama|Romance
238,250,110,Heavyweights (Heavy Weights) (1995),Children|Comedy
239,251,162,"Hunted, The (1995)",Action
240,252,82,I.Q. (1994),Comedy|Romance
241,253,151,Interview with the Vampire: The Vampire Chronicles (1994),Drama|Horror
242,254,21,Jefferson in Paris (1995),Drama
243,255,84,"Jerky Boys, The (1995)",Comedy
244,256,84,Junior (1994),Comedy|Sci-Fi
245,257,102,Just Cause (1995),Mystery|Thriller
246,258,110,"Kid in King Arthur's Court, A (1995)",Adventure|Children|Comedy|Fantasy|Romance
247,259,111,Kiss of Death (1995),Crime|Drama|Thriller
248,260,106,Star Wars: Episode IV - A New Hope (1977),Action|Adventure|Sci-Fi
249,261,155,Little Women (1994),Drama
250,262,107,"Little Princess, A (1995)",Children|Drama
251,263,138,Ladybird Ladybird (1994),Drama
252,264,173,"Enfer, L' (1994)",Drama
253,265,0,Like Water for Chocolate (Como agua para chocolate) (1992),Drama|Fantasy|Romance
254,266,90,Legends of the Fall (1994),Drama|Romance|War|Western
255,267,84,Major Payne (1995),Comedy
256,268,103,Little Odessa (1994),Crime|Drama
257,269,68,My Crazy Life (Mi vida loca) (1993),Drama
258,270,41,Love Affair (1994),Drama|Romance
259,271,103,Losing Isaiah (1995),Drama
260,272,90,"Madness of King George, The (1994)",Comedy|Drama
261,273,2,Mary Shelley's Frankenstein (Frankenstein) (1994),Drama|Horror|Sci-Fi
262,274,110,Man of the House (1995),Comedy
263,275,38,Mixed Nuts (1994),Comedy
264,276,41,Milk Money (1994),Comedy|Romance
265,277,38,Miracle on 34th Street (1994),Drama
266,278,64,Miami Rhapsody (1995),Comedy
267,279,103,My Family (1995),Drama
268,280,102,Murder in the First (1995),Drama|Thriller
269,281,103,Nobody's Fool (1994),Comedy|Drama|Romance
270,282,57,Nell (1994),Drama
271,283,68,New Jersey Drive (1995),Crime|Drama
272,285,32,Beyond Bedlam (1993),Drama|Horror
273,286,50,Nemesis 2: Nebula (1995),Action|Sci-Fi|Thriller
274,287,42,Nina Takes a Lover (1994),Comedy|Romance
275,288,130,Natural Born Killers (1994),Action|Crime|Thriller
276,289,82,Only You (1994),Comedy|Romance
277,290,129,Once Were Warriors (1994),Crime|Drama
278,292,154,Outbreak (1995),Action|Drama|Sci-Fi|Thriller
279,293,49,Léon: The Professional (a.k.a. The Professional) (Léon) (1994),Action|Crime|Drama|Thriller
280,294,42,"Perez Family, The (1995)",Comedy|Romance
281,295,192,"Pyromaniac's Love Story, A (1995)",Comedy|Romance
282,296,49,Pulp Fiction (1994),Comedy|Crime|Drama|Thriller
283,297,48,Panther (1995),Drama
284,298,103,Pushing Hands (Tui shou) (1992),Drama
285,299,131,Priest (1994),Drama
286,300,48,Quiz Show (1994),Drama
287,301,67,Picture Bride (Bijo photo) (1994),Drama|Romance
288,302,21,"Queen Margot (Reine Margot, La) (1994)",Drama|Romance
289,303,168,"Quick and the Dead, The (1995)",Action|Thriller|Western
290,304,57,Roommates (1995),Comedy|Drama
291,305,193,Ready to Wear (Pret-A-Porter) (1994),Comedy
292,306,46,Three Colors: Red (Trois couleurs: Rouge) (1994),Drama
293,307,46,Three Colors: Blue (Trois couleurs: Bleu) (1993),Drama
294,308,8,Three Colors: White (Trzy kolory: Bialy) (1994),Comedy|Drama
295,309,20,"Red Firecracker, Green Firecracker (Pao Da Shuang Deng) (1994)",Drama
296,310,110,Rent-a-Kid (1995),Comedy
297,311,32,Relative Fear (1994),Horror|Thriller
298,312,165,Stuart Saves His Family (1995),Comedy
299,313,197,"Swan Princess, The (1994)",Animation|Children
300,314,67,"Secret of Roan Inish, The (1994)",Children|Drama|Fantasy|Mystery
301,315,16,"Specialist, The (1994)",Action|Drama|Thriller
302,316,24,Stargate (1994),Action|Adventure|Sci-Fi
303,317,38,"Santa Clause, The (1994)",Comedy|Drama|Fantasy
304,318,166,"Shawshank Redemption, The (1994)",Crime|Drama
305,319,37,Shallow Grave (1994),Comedy|Drama|Thriller
306,320,80,Suture (1993),Film-Noir|Thriller
307,321,131,Strawberry and Chocolate (Fresa y chocolate) (1993),Drama
308,322,37,Swimming with Sharks (1995),Comedy|Drama
309,324,36,"Sum of Us, The (1994)",Comedy|Drama
310,325,83,National Lampoon's Senior Trip (1995),Comedy
311,326,58,To Live (Huozhe) (1994),Drama
312,327,180,Tank Girl (1995),Action|Comedy|Sci-Fi
313,328,70,Tales from the Crypt Presents: Demon Knight (1995),Horror|Thriller
314,329,54,Star Trek: Generations (1994),Adventure|Drama|Sci-Fi
315,330,70,Tales from the Hood (1995),Action|Crime|Horror
316,331,100,Tom & Viv (1994),Drama
317,332,70,Village of the Damned (1995),Horror|Sci-Fi
318,333,119,Tommy Boy (1995),Comedy
319,334,64,Vanya on 42nd Street (1994),Drama
320,335,80,Underneath (1995),Mystery|Thriller
321,336,27,"Walking Dead, The (1995)",Drama|War
322,337,103,What's Eating Gilbert Grape (1993),Drama
323,338,28,Virtuosity (1995),Action|Sci-Fi|Thriller
324,339,82,While You Were Sleeping (1995),Comedy|Romance
325,340,57,"War, The (1994)",Adventure|Drama|War
326,341,103,Double Happiness (1994),Drama
327,342,103,Muriel's Wedding (1994),Comedy
328,343,128,"Baby-Sitters Club, The (1995)",Children
329,344,119,Ace Ventura: Pet Detective (1994),Comedy
330,345,36,"Adventures of Priscilla, Queen of the Desert, The (1994)",Comedy|Drama
331,346,118,Backbeat (1993),Drama|Musical
332,347,30,Bitter Moon (1992),Drama|Film-Noir|Romance
333,348,64,Bullets Over Broadway (1994),Comedy
334,349,154,Clear and Present Danger (1994),Action|Crime|Drama|Thriller
335,350,102,"Client, The (1994)",Drama|Mystery|Thriller
336,351,57,"Corrina, Corrina (1994)",Comedy|Drama|Romance
337,352,103,Crooklyn (1994),Comedy|Drama
338,353,180,"Crow, The (1994)",Action|Crime|Fantasy|Thriller
339,354,51,Cobb (1994),Drama
340,355,110,"Flintstones, The (1994)",Children|Comedy|Fantasy
341,356,44,Forrest Gump (1994),Comedy|Drama|Romance|War
342,357,82,Four Weddings and a Funeral (1994),Comedy|Romance
343,358,40,Higher Learning (1995),Drama
344,359,42,I Like It Like That (1994),Comedy|Drama|Romance
345,360,32,I Love Trouble (1994),Action|Comedy
346,361,82,It Could Happen to You (1994),Comedy|Drama|Romance
347,362,197,"Jungle Book, The (1994)",Adventure|Children|Romance
348,363,161,"Wonderful, Horrible Life of Leni Riefenstahl, The (Macht der Bilder: Leni Riefenstahl, Die) (1993)",Documentary
349,364,144,"Lion King, The (1994)",Adventure|Animation|Children|Drama|Musical|IMAX
350,365,67,Little Buddha (1993),Drama
351,366,50,"Wes Craven's New Nightmare (Nightmare on Elm Street Part 7: Freddy's Finale, A) (1994)",Drama|Horror|Mystery|Thriller
352,367,180,"Mask, The (1994)",Action|Comedy|Crime|Fantasy
353,368,14,Maverick (1994),Adventure|Comedy|Western
354,369,64,Mrs. Parker and the Vicious Circle (1994),Drama
355,370,125,Naked Gun 33 1/3: The Final Insult (1994),Action|Comedy
356,371,192,"Paper, The (1994)",Comedy|Drama
357,372,64,Reality Bites (1994),Comedy|Drama|Romance
358,373,37,Red Rock West (1992),Thriller
359,374,110,Richie Rich (1994),Children|Comedy
360,375,103,Safe Passage (1994),Drama
361,376,32,"River Wild, The (1994)",Action|Thriller
362,377,33,Speed (1994),Action|Romance|Thriller
363,378,82,Speechless (1994),Comedy|Romance
364,379,139,Timecop (1994),Action|Sci-Fi|Thriller
365,380,33,True Lies (1994),Action|Adventure|Comedy|Romance|Thriller
366,381,103,When a Man Loves a Woman (1994),Drama|Romance
367,382,70,Wolf (1994),Drama|Horror|Romance|Thriller
368,383,168,Wyatt Earp (1994),Western
369,384,32,Bad Company (1995),Action|Crime|Drama
370,385,36,"Man of No Importance, A (1994)",Drama
371,386,192,S.F.W. (1994),Drama
372,387,16,"Low Down Dirty Shame, A (1994)",Action|Comedy
373,388,36,Boys Life (1995),Drama
374,389,138,"Colonel Chabert, Le (1994)",Drama|Romance|War
375,390,193,Faster Pussycat! Kill! Kill! (1965),Action|Crime|Drama
376,391,42,Jason's Lyric (1994),Crime|Drama
377,392,116,"Secret Adventures of Tom Thumb, The (1993)",Adventure|Animation
378,393,182,Street Fighter (1994),Action|Adventure|Fantasy
379,394,60,Coldblooded (1995),Comedy
380,397,70,"Fear, The (1995)",Horror
381,398,42,Frank and Ollie (1995),Documentary
382,402,165,Open Season (1996),Comedy
383,404,42,Brother Minister: The Assassination of Malcolm X (1994),Documentary
384,405,50,Highlander III: The Sorcerer (a.k.a. Highlander: The Final Dimension) (1994),Action|Fantasy
385,406,42,Federal Hill (1994),Drama
386,407,56,In the Mouth of Madness (1995),Horror|Thriller
387,408,57,8 Seconds (1994),Drama
388,409,66,Above the Rim (1994),Crime|Drama
389,410,165,Addams Family Values (1993),Children|Comedy|Fantasy
390,411,192,Martin Lawrence: You So Crazy (1994),Comedy|Documentary
391,412,21,"Age of Innocence, The (1993)",Drama
392,413,84,Airheads (1994),Comedy
393,414,66,"Air Up There, The (1994)",Comedy
394,415,50,Another Stakeout (1993),Comedy|Thriller
395,416,140,Bad Girls (1994),Western
396,417,64,Barcelona (1994),Comedy|Romance
397,418,89,Being Human (1993),Drama
398,419,84,"Beverly Hillbillies, The (1993)",Comedy
399,420,50,Beverly Hills Cop III (1994),Action|Comedy|Crime|Thriller
400,421,57,Black Beauty (1994),Adventure|Children|Drama
401,422,52,Blink (1994),Thriller
402,423,16,Blown Away (1994),Action|Thriller
403,424,66,Blue Chips (1994),Drama
404,425,42,Blue Sky (1994),Drama|Romance
405,426,134,Body Snatchers (1993),Horror|Sci-Fi|Thriller
406,427,193,Boxing Helena (1993),Drama|Mystery|Romance|Thriller
407,428,136,"Bronx Tale, A (1993)",Drama
408,429,119,Cabin Boy (1994),Comedy
409,430,128,Calendar Girl (1993),Comedy|Drama
410,431,136,Carlito's Way (1993),Crime|Drama
411,432,50,City Slickers II: The Legend of Curly's Gold (1994),Adventure|Comedy|Western
412,433,84,Clean Slate (1994),Comedy
413,434,33,Cliffhanger (1993),Action|Adventure|Thriller
414,435,134,Coneheads (1993),Comedy|Sci-Fi
415,436,52,Color of Night (1994),Drama|Thriller
416,437,84,Cops and Robbersons (1994),Comedy
417,438,84,"Cowboy Way, The (1994)",Action|Comedy|Drama
418,439,42,Dangerous Game (1993),Drama
419,440,48,Dave (1993),Comedy|Romance
420,441,174,Dazed and Confused (1993),Comedy
421,442,86,Demolition Man (1993),Action|Adventure|Sci-Fi
422,443,171,"Endless Summer 2, The (1994)",Adventure|Documentary
423,444,2,Even Cowgirls Get the Blues (1993),Comedy|Romance
424,445,125,Fatal Instinct (1993),Comedy
425,446,21,Farewell My Concubine (Ba wang bie ji) (1993),Drama|Romance
426,447,41,"Favor, The (1994)",Comedy|Romance
427,448,100,Fearless (1993),Drama
428,449,119,Fear of a Black Hat (1994),Comedy
429,450,4,With Honors (1994),Comedy|Drama
430,451,42,Flesh and Bone (1993),Drama|Mystery|Romance
431,452,67,Widows' Peak (1994),Drama
432,453,82,For Love or Money (1993),Comedy|Romance
433,454,154,"Firm, The (1993)",Drama|Thriller
434,455,110,Free Willy (1993),Adventure|Children|Drama
435,456,160,Fresh (1994),Crime|Drama|Thriller
436,457,173,"Fugitive, The (1993)",Thriller
437,458,90,Geronimo: An American Legend (1993),Drama|Western
438,459,32,"Getaway, The (1994)",Action|Adventure|Crime|Drama|Romance|Thriller
439,460,84,Getting Even with Dad (1994),Comedy
440,461,36,Go Fish (1994),Drama|Romance
441,462,192,"Good Man in Africa, A (1994)",Action|Adventure
442,463,32,Guilty as Sin (1993),Crime|Drama|Thriller
443,464,16,Hard Target (1993),Action|Adventure|Crime|Thriller
444,465,27,Heaven & Earth (1993),Action|Drama|War
445,466,125,Hot Shots! Part Deux (1993),Action|Comedy|War
446,467,193,Live Nude Girls (1995),Comedy
447,468,67,"Englishman Who Went Up a Hill But Came Down a Mountain, The (1995)",Comedy|Romance
448,469,2,"House of the Spirits, The (1993)",Drama|Romance
449,470,84,House Party 3 (1994),Comedy
450,471,117,"Hudsucker Proxy, The (1994)",Comedy
451,472,42,I'll Do Anything (1994),Comedy|Drama
452,473,84,In the Army Now (1994),Comedy|War
453,474,154,In the Line of Fire (1993),Action|Thriller
454,475,150,In the Name of the Father (1993),Drama
455,476,128,"Inkwell, The (1994)",Comedy|Drama
456,477,97,What's Love Got to Do with It? (1993),Drama|Musical
457,478,192,Jimmy Hollywood (1994),Comedy|Crime|Drama
458,479,137,Judgment Night (1993),Action|Crime|Thriller
459,480,59,Jurassic Park (1993),Action|Adventure|Sci-Fi|Thriller
460,481,92,Kalifornia (1993),Drama|Thriller
461,482,60,Killing Zoe (1994),Crime|Drama|Thriller
462,483,120,King of the Hill (1993),Drama
463,484,170,Lassie (1994),Adventure|Children
464,485,140,Last Action Hero (1993),Action|Adventure|Comedy|Fantasy
465,486,110,Life with Mikey (1993),Comedy
466,487,84,Lightning Jack (1994),Comedy|Western
467,488,21,M. Butterfly (1993),Drama|Romance
468,489,84,Made in America (1993),Comedy
469,490,52,Malice (1993),Thriller
470,491,57,"Man Without a Face, The (1993)",Drama
471,492,173,Manhattan Murder Mystery (1993),Comedy|Mystery
472,493,160,Menace II Society (1993),Action|Crime|Drama
473,494,33,Executive Decision (1996),Action|Adventure|Thriller
474,495,30,In the Realm of the Senses (Ai no corrida) (1976),Drama
475,496,64,What Happened Was... (1994),Comedy|Drama|Romance|Thriller
476,497,181,Much Ado About Nothing (1993),Comedy|Romance
477,498,192,Mr. Jones (1993),Drama|Romance
478,499,41,Mr. Wonderful (1993),Comedy|Romance
479,500,57,Mrs. Doubtfire (1993),Comedy|Drama
480,501,183,Naked (1993),Drama
481,502,128,"Next Karate Kid, The (1994)",Action|Children|Romance
482,503,165,"New Age, The (1994)",Drama
483,504,140,No Escape (1994),Action|Drama|Sci-Fi
484,505,110,North (1994),Comedy
485,506,89,Orlando (1992),Drama|Fantasy|Romance
486,507,20,"Perfect World, A (1993)",Crime|Drama|Thriller
487,508,44,Philadelphia (1993),Drama
488,509,63,"Piano, The (1993)",Drama|Romance
489,510,192,Poetic Justice (1993),Drama
490,511,148,"Program, The (1993)",Action|Drama
491,512,134,"Puppet Masters, The (1994)",Horror|Sci-Fi
492,513,164,Radioland Murders (1994),Comedy|Mystery|Romance
493,514,38,"Ref, The (1994)",Comedy
494,515,161,"Remains of the Day, The (1993)",Drama|Romance
