,movieid,Cluster,title,genres
244,256,96,Junior (1994),Comedy|Sci-Fi
245,257,146,Just Cause (1995),Mystery|Thriller
246,258,44,"Kid in King Arthur's Court, A (1995)",Adventure|Children|Comedy|Fantasy|Romance
247,259,163,Kiss of Death (1995),Crime|Drama|Thriller
248,260,189,Star Wars: Episode IV - A New Hope (1977),Action|Adventure|Sci-Fi
249,261,13,Little Women (1994),Drama
250,262,168,"Little Princess, A (1995)",Children|Drama
251,263,186,Ladybird Ladybird (1994),Drama
252,264,65,"Enfer, L' (1994)",Drama
253,265,163,Like Water for Chocolate (Como agua para chocolate) (1992),Drama|Fantasy|Romance
254,266,156,Legends of the Fall (1994),Drama|Romance|War|Western
255,267,19,Major Payne (1995),Comedy
256,268,150,Little Odessa (1994),Crime|Drama
257,269,98,My Crazy Life (Mi vida loca) (1993),Drama
258,270,24,Love Affair (1994),Drama|Romance
259,271,7,Losing Isaiah (1995),Drama
260,272,17,"Madness of King George, The (1994)",Comedy|Drama
261,273,120,Mary Shelley's Frankenstein (Frankenstein) (1994),Drama|Horror|Sci-Fi
262,274,185,Man of the House (1995),Comedy
263,275,64,Mixed Nuts (1994),Comedy
264,276,44,Milk Money (1994),Comedy|Romance
265,277,27,Miracle on 34th Street (1994),Drama
266,278,82,Miami Rhapsody (1995),Comedy
267,279,81,My Family (1995),Drama
268,280,128,Murder in the First (1995),Drama|Thriller
269,281,128,Nobody's Fool (1994),Comedy|Drama|Romance
270,282,76,Nell (1994),Drama
271,283,11,New Jersey Drive (1995),Crime|Drama
272,285,98,Beyond Bedlam (1993),Drama|Horror
273,286,18,Nemesis 2: Nebula (1995),Action|Sci-Fi|Thriller
274,287,57,Nina Takes a Lover (1994),Comedy|Romance
275,288,133,Natural Born Killers (1994),Action|Crime|Thriller
276,289,147,Only You (1994),Comedy|Romance
277,290,67,Once Were Warriors (1994),Crime|Drama
278,292,117,Outbreak (1995),Action|Drama|Sci-Fi|Thriller
279,293,117,Léon: The Professional (a.k.a. The Professional) (Léon) (1994),Action|Crime|Drama|Thriller
280,294,169,"Perez Family, The (1995)",Comedy|Romance
281,295,57,"Pyromaniac's Love Story, A (1995)",Comedy|Romance
282,296,168,Pulp Fiction (1994),Comedy|Crime|Drama|Thriller
283,297,48,Panther (1995),Drama
284,298,128,Pushing Hands (Tui shou) (1992),Drama
285,299,63,Priest (1994),Drama
286,300,57,Quiz Show (1994),Drama
287,301,51,Picture Bride (Bijo photo) (1994),Drama|Romance
288,302,21,"Queen Margot (Reine Margot, La) (1994)",Drama|Romance
289,303,63,"Quick and the Dead, The (1995)",Action|Thriller|Western
290,304,165,Roommates (1995),Comedy|Drama
291,305,114,Ready to Wear (Pret-A-Porter) (1994),Comedy
292,306,50,Three Colors: Red (Trois couleurs: Rouge) (1994),Drama
293,307,174,Three Colors: Blue (Trois couleurs: Bleu) (1993),Drama
294,308,116,Three Colors: White (Trzy kolory: Bialy) (1994),Comedy|Drama
295,309,19,"Red Firecracker, Green Firecracker (Pao Da Shuang Deng) (1994)",Drama
296,310,88,Rent-a-Kid (1995),Comedy
297,311,106,Relative Fear (1994),Horror|Thriller
298,312,112,Stuart Saves His Family (1995),Comedy
299,313,161,"Swan Princess, The (1994)",Animation|Children
300,314,183,"Secret of Roan Inish, The (1994)",Children|Drama|Fantasy|Mystery
301,315,48,"Specialist, The (1994)",Action|Drama|Thriller
302,316,174,Stargate (1994),Action|Adventure|Sci-Fi
303,317,17,"Santa Clause, The (1994)",Comedy|Drama|Fantasy
304,318,75,"Shawshank Redemption, The (1994)",Crime|Drama
305,319,198,Shallow Grave (1994),Comedy|Drama|Thriller
306,320,125,Suture (1993),Film-Noir|Thriller
307,321,128,Strawberry and Chocolate (Fresa y chocolate) (1993),Drama
308,322,98,Swimming with Sharks (1995),Comedy|Drama
309,324,182,"Sum of Us, The (1994)",Comedy|Drama
310,325,73,National Lampoon's Senior Trip (1995),Comedy
311,326,19,To Live (Huozhe) (1994),Drama
312,327,80,Tank Girl (1995),Action|Comedy|Sci-Fi
313,328,137,Tales from the Crypt Presents: Demon Knight (1995),Horror|Thriller
314,329,75,Star Trek: Generations (1994),Adventure|Drama|Sci-Fi
315,330,112,Tales from the Hood (1995),Action|Crime|Horror
316,331,32,Tom & Viv (1994),Drama
317,332,133,Village of the Damned (1995),Horror|Sci-Fi
318,333,189,Tommy Boy (1995),Comedy
319,334,130,Vanya on 42nd Street (1994),Drama
320,335,3,Underneath (1995),Mystery|Thriller
321,336,19,"Walking Dead, The (1995)",Drama|War
322,337,96,What's Eating Gilbert Grape (1993),Drama
323,338,77,Virtuosity (1995),Action|Sci-Fi|Thriller
324,339,13,While You Were Sleeping (1995),Comedy|Romance
325,340,63,"War, The (1994)",Adventure|Drama|War
326,341,40,Double Happiness (1994),Drama
327,342,196,Muriel's Wedding (1994),Comedy
328,343,32,"Baby-Sitters Club, The (1995)",Children
329,344,23,Ace Ventura: Pet Detective (1994),Comedy
330,345,87,"Adventures of Priscilla, Queen of the Desert, The (1994)",Comedy|Drama
331,346,182,Backbeat (1993),Drama|Musical
332,347,113,Bitter Moon (1992),Drama|Film-Noir|Romance
333,348,101,Bullets Over Broadway (1994),Comedy
334,349,49,Clear and Present Danger (1994),Action|Crime|Drama|Thriller
335,350,57,"Client, The (1994)",Drama|Mystery|Thriller
336,351,17,"Corrina, Corrina (1994)",Comedy|Drama|Romance
337,352,173,Crooklyn (1994),Comedy|Drama
338,353,173,"Crow, The (1994)",Action|Crime|Fantasy|Thriller
339,354,138,Cobb (1994),Drama
340,355,75,"Flintstones, The (1994)",Children|Comedy|Fantasy
341,356,127,Forrest Gump (1994),Comedy|Drama|Romance|War
342,357,80,Four Weddings and a Funeral (1994),Comedy|Romance
343,358,125,Higher Learning (1995),Drama
344,359,63,I Like It Like That (1994),Comedy|Drama|Romance
345,360,98,I Love Trouble (1994),Action|Comedy
346,361,47,It Could Happen to You (1994),Comedy|Drama|Romance
347,362,84,"Jungle Book, The (1994)",Adventure|Children|Romance
348,363,182,"Wonderful, Horrible Life of Leni Riefenstahl, The (Macht der Bilder: Leni Riefenstahl, Die) (1993)",Documentary
349,364,54,"Lion King, The (1994)",Adventure|Animation|Children|Drama|Musical|IMAX
350,365,84,Little Buddha (1993),Drama
351,366,44,"Wes Craven's New Nightmare (Nightmare on Elm Street Part 7: Freddy's Finale, A) (1994)",Drama|Horror|Mystery|Thriller
352,367,32,"Mask, The (1994)",Action|Comedy|Crime|Fantasy
353,368,197,Maverick (1994),Adventure|Comedy|Western
354,369,105,Mrs. Parker and the Vicious Circle (1994),Drama
355,370,23,Naked Gun 33 1/3: The Final Insult (1994),Action|Comedy
356,371,13,"Paper, The (1994)",Comedy|Drama
357,372,147,Reality Bites (1994),Comedy|Drama|Romance
358,373,98,Red Rock West (1992),Thriller
359,374,101,Richie Rich (1994),Children|Comedy
360,375,55,Safe Passage (1994),Drama
361,376,163,"River Wild, The (1994)",Action|Thriller
362,377,159,Speed (1994),Action|Romance|Thriller
363,378,79,Speechless (1994),Comedy|Romance
364,379,72,Timecop (1994),Action|Sci-Fi|Thriller
365,380,17,True Lies (1994),Action|Adventure|Comedy|Romance|Thriller
366,381,52,When a Man Loves a Woman (1994),Drama|Romance
367,382,175,Wolf (1994),Drama|Horror|Romance|Thriller
368,383,179,Wyatt Earp (1994),Western
369,384,17,Bad Company (1995),Action|Crime|Drama
370,385,23,"Man of No Importance, A (1994)",Drama
371,386,33,S.F.W. (1994),Drama
372,387,67,"Low Down Dirty Shame, A (1994)",Action|Comedy
373,388,127,Boys Life (1995),Drama
374,389,128,"Colonel Chabert, Le (1994)",Drama|Romance|War
375,390,88,Faster Pussycat! Kill! Kill! (1965),Action|Crime|Drama
376,391,83,Jason's Lyric (1994),Crime|Drama
377,392,75,"Secret Adventures of Tom Thumb, The (1993)",Adventure|Animation
378,393,65,Street Fighter (1994),Action|Adventure|Fantasy
379,394,87,Coldblooded (1995),Comedy
380,397,185,"Fear, The (1995)",Horror
381,398,120,Frank and Ollie (1995),Documentary
382,402,172,Open Season (1996),Comedy
383,404,198,Brother Minister: The Assassination of Malcolm X (1994),Documentary
384,405,183,Highlander III: The Sorcerer (a.k.a. Highlander: The Final Dimension) (1994),Action|Fantasy
385,406,55,Federal Hill (1994),Drama
386,407,45,In the Mouth of Madness (1995),Horror|Thriller
387,408,112,8 Seconds (1994),Drama
388,409,128,Above the Rim (1994),Crime|Drama
389,410,45,Addams Family Values (1993),Children|Comedy|Fantasy
390,411,87,Martin Lawrence: You So Crazy (1994),Comedy|Documentary
391,412,87,"Age of Innocence, The (1993)",Drama
392,413,36,Airheads (1994),Comedy
393,414,170,"Air Up There, The (1994)",Comedy
394,415,105,Another Stakeout (1993),Comedy|Thriller
395,416,186,Bad Girls (1994),Western
396,417,87,Barcelona (1994),Comedy|Romance
397,418,175,Being Human (1993),Drama
398,419,194,"Beverly Hillbillies, The (1993)",Comedy
399,420,104,Beverly Hills Cop III (1994),Action|Comedy|Crime|Thriller
400,421,36,Black Beauty (1994),Adventure|Children|Drama
401,422,127,Blink (1994),Thriller
402,423,13,Blown Away (1994),Action|Thriller
403,424,186,Blue Chips (1994),Drama
404,425,106,Blue Sky (1994),Drama|Romance
405,426,87,Body Snatchers (1993),Horror|Sci-Fi|Thriller
406,427,9,Boxing Helena (1993),Drama|Mystery|Romance|Thriller
407,428,2,"Bronx Tale, A (1993)",Drama
408,429,59,Cabin Boy (1994),Comedy
409,430,179,Calendar Girl (1993),Comedy|Drama
410,431,196,Carlito's Way (1993),Crime|Drama
411,432,65,City Slickers II: The Legend of Curly's Gold (1994),Adventure|Comedy|Western
412,433,130,Clean Slate (1994),Comedy
413,434,63,Cliffhanger (1993),Action|Adventure|Thriller
414,435,153,Coneheads (1993),Comedy|Sci-Fi
415,436,191,Color of Night (1994),Drama|Thriller
416,437,163,Cops and Robbersons (1994),Comedy
417,438,147,"Cowboy Way, The (1994)",Action|Comedy|Drama
418,439,168,Dangerous Game (1993),Drama
419,440,126,Dave (1993),Comedy|Romance
420,441,128,Dazed and Confused (1993),Comedy
421,442,141,Demolition Man (1993),Action|Adventure|Sci-Fi
422,443,51,"Endless Summer 2, The (1994)",Adventure|Documentary
423,444,163,Even Cowgirls Get the Blues (1993),Comedy|Romance
424,445,75,Fatal Instinct (1993),Comedy
425,446,146,Farewell My Concubine (Ba wang bie ji) (1993),Drama|Romance
426,447,182,"Favor, The (1994)",Comedy|Romance
427,448,13,Fearless (1993),Drama
428,449,128,Fear of a Black Hat (1994),Comedy
429,450,149,With Honors (1994),Comedy|Drama
430,451,128,Flesh and Bone (1993),Drama|Mystery|Romance
431,452,186,Widows' Peak (1994),Drama
432,453,130,For Love or Money (1993),Comedy|Romance
433,454,115,"Firm, The (1993)",Drama|Thriller
434,455,146,Free Willy (1993),Adventure|Children|Drama
435,456,134,Fresh (1994),Crime|Drama|Thriller
436,457,128,"Fugitive, The (1993)",Thriller
437,458,172,Geronimo: An American Legend (1993),Drama|Western
438,459,15,"Getaway, The (1994)",Action|Adventure|Crime|Drama|Romance|Thriller
439,460,114,Getting Even with Dad (1994),Comedy
440,461,7,Go Fish (1994),Drama|Romance
441,462,68,"Good Man in Africa, A (1994)",Action|Adventure
442,463,168,Guilty as Sin (1993),Crime|Drama|Thriller
443,464,36,Hard Target (1993),Action|Adventure|Crime|Thriller
444,465,87,Heaven & Earth (1993),Action|Drama|War
445,466,87,Hot Shots! Part Deux (1993),Action|Comedy|War
446,467,185,Live Nude Girls (1995),Comedy
447,468,65,"Englishman Who Went Up a Hill But Came Down a Mountain, The (1995)",Comedy|Romance
448,469,3,"House of the Spirits, The (1993)",Drama|Romance
449,470,73,House Party 3 (1994),Comedy
450,471,74,"Hudsucker Proxy, The (1994)",Comedy
451,472,153,I'll Do Anything (1994),Comedy|Drama
452,473,108,In the Army Now (1994),Comedy|War
453,474,28,In the Line of Fire (1993),Action|Thriller
454,475,156,In the Name of the Father (1993),Drama
455,476,189,"Inkwell, The (1994)",Comedy|Drama
456,477,44,What's Love Got to Do with It? (1993),Drama|Musical
457,478,128,Jimmy Hollywood (1994),Comedy|Crime|Drama
458,479,173,Judgment Night (1993),Action|Crime|Thriller
459,480,37,Jurassic Park (1993),Action|Adventure|Sci-Fi|Thriller
460,481,120,Kalifornia (1993),Drama|Thriller
461,482,185,Killing Zoe (1994),Crime|Drama|Thriller
462,483,36,King of the Hill (1993),Drama
463,484,120,Lassie (1994),Adventure|Children
464,485,12,Last Action Hero (1993),Action|Adventure|Comedy|Fantasy
465,486,153,Life with Mikey (1993),Comedy
466,487,40,Lightning Jack (1994),Comedy|Western
467,488,133,M. Butterfly (1993),Drama|Romance
468,489,128,Made in America (1993),Comedy
469,490,67,Malice (1993),Thriller
470,491,183,"Man Without a Face, The (1993)",Drama
471,492,87,Manhattan Murder Mystery (1993),Comedy|Mystery
472,493,35,Menace II Society (1993),Action|Crime|Drama
473,494,14,Executive Decision (1996),Action|Adventure|Thriller
474,495,67,In the Realm of the Senses (Ai no corrida) (1976),Drama
475,496,3,What Happened Was... (1994),Comedy|Drama|Romance|Thriller
476,497,128,Much Ado About Nothing (1993),Comedy|Romance
477,498,79,Mr. Jones (1993),Drama|Romance
478,499,75,Mr. Wonderful (1993),Comedy|Romance
479,500,114,Mrs. Doubtfire (1993),Comedy|Drama
480,501,153,Naked (1993),Drama
481,502,119,"Next Karate Kid, The (1994)",Action|Children|Romance
482,503,194,"New Age, The (1994)",Drama
483,504,27,No Escape (1994),Action|Drama|Sci-Fi
484,505,174,North (1994),Comedy
485,506,165,Orlando (1992),Drama|Fantasy|Romance
486,507,87,"Perfect World, A (1993)",Crime|Drama|Thriller
487,508,46,Philadelphia (1993),Drama
488,509,113,"Piano, The (1993)",Drama|Romance
489,510,112,Poetic Justice (1993),Drama
490,511,170,"Program, The (1993)",Action|Drama
491,512,14,"Puppet Masters, The (1994)",Horror|Sci-Fi
492,513,4,Radioland Murders (1994),Comedy|Mystery|Romance
493,514,73,"Ref, The (1994)",Comedy
494,515,28,"Remains of the Day, The (1993)",Drama|Romance
