,movieid,Cluster,title,genres
36,37,187,Across the Sea of Time (1995),Documentary|IMAX
37,38,46,It Takes Two (1995),Children|Comedy
38,39,191,Clueless (1995),Comedy|Romance
39,40,17,"Cry, the Beloved Country (1995)",Drama
40,41,168,Richard III (1995),Drama|War
41,42,29,Dead Presidents (1995),Action|Crime|Drama
42,43,168,Restoration (1995),Drama
43,44,88,Mortal Kombat (1995),Action|Adventure|Fantasy
44,45,68,To Die For (1995),Comedy|Drama|Thriller
45,46,99,How to Make an American Quilt (1995),Drama|Romance
46,47,136,Seven (a.k.a. Se7en) (1995),Mystery|Thriller
47,48,137,Pocahontas (1995),Animation|Children|Drama|Musical|Romance
48,49,12,When Night Is Falling (1995),Drama|Romance
49,50,136,"Usual Suspects, The (1995)",Crime|Mystery|Thriller
50,52,169,Mighty Aphrodite (1995),Comedy|Drama|Romance
51,53,17,Lamerica (1994),Adventure|Drama
52,54,46,"Big Green, The (1995)",Children|Comedy
53,55,145,Georgia (1995),Drama
54,56,192,Kids of the Round Table (1995),Adventure|Children|Comedy|Fantasy
55,57,12,Home for the Holidays (1995),Drama
56,58,169,"Postman, The (Postino, Il) (1994)",Comedy|Drama|Romance
57,59,148,"Confessional, The (Confessionnal, Le) (1995)",Drama|Mystery
58,60,130,"Indian in the Cupboard, The (1995)",Adventure|Children|Fantasy
59,61,68,Eye for an Eye (1996),Drama|Thriller
60,62,178,Mr. Holland's Opus (1995),Drama
61,63,95,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),Comedy|Crime
62,64,180,Two if by Sea (1996),Comedy|Romance
63,65,95,Bio-Dome (1996),Comedy
64,66,110,Lawnmower Man 2: Beyond Cyberspace (1996),Action|Sci-Fi|Thriller
65,67,25,Two Bits (1995),Drama
66,68,12,French Twist (Gazon maudit) (1995),Comedy|Romance
67,69,95,Friday (1995),Comedy
68,70,93,From Dusk Till Dawn (1996),Action|Comedy|Horror|Thriller
69,71,22,Fair Game (1995),Action
70,72,188,Kicking and Screaming (1995),Comedy|Drama
71,73,179,"Misérables, Les (1995)",Drama|War
72,74,172,Bed of Roses (1996),Drama|Romance
73,75,1,Big Bully (1996),Comedy|Drama
74,76,110,Screamers (1995),Action|Sci-Fi|Thriller
75,77,184,Nico Icon (1995),Documentary
76,78,96,"Crossing Guard, The (1995)",Action|Crime|Drama|Thriller
77,79,167,"Juror, The (1996)",Drama|Thriller
78,80,25,"White Balloon, The (Badkonake sefid) (1995)",Children|Drama
79,81,94,Things to Do in Denver When You're Dead (1995),Crime|Drama|Romance
80,82,65,Antonia's Line (Antonia) (1995),Comedy|Drama
81,83,0,Once Upon a Time... When We Were Colored (1995),Drama|Romance
82,84,39,Last Summer in the Hamptons (1995),Comedy|Drama
83,85,50,Angels and Insects (1995),Drama|Romance
84,86,140,White Squall (1996),Action|Adventure|Drama
85,87,46,Dunston Checks In (1996),Children|Comedy
86,88,134,Black Sheep (1996),Comedy
87,89,183,Nick of Time (1995),Action|Thriller
88,90,17,The Journey of August King (1995),Drama
89,92,8,Mary Reilly (1996),Drama|Horror|Thriller
90,93,93,Vampire in Brooklyn (1995),Comedy|Horror|Romance
91,94,121,Beautiful Girls (1996),Comedy|Drama|Romance
92,95,22,Broken Arrow (1996),Action|Adventure|Thriller
93,96,39,In the Bleak Midwinter (1995),Comedy|Drama
94,97,29,"Hate (Haine, La) (1995)",Crime|Drama
95,98,90,Shopping (1994),Action|Thriller
96,99,184,Heidi Fleiss: Hollywood Madam (1995),Documentary
97,100,45,City Hall (1996),Drama|Thriller
98,101,42,Bottle Rocket (1996),Adventure|Comedy|Crime|Romance
99,102,120,Mr. Wrong (1996),Comedy
100,103,151,Unforgettable (1996),Mystery|Sci-Fi|Thriller
101,104,134,Happy Gilmore (1996),Comedy
102,105,99,"Bridges of Madison County, The (1995)",Drama|Romance
103,106,17,Nobody Loves Me (Keiner liebt mich) (1994),Comedy|Drama
104,107,46,Muppet Treasure Island (1996),Adventure|Children|Comedy|Musical
105,108,184,Catwalk (1996),Documentary
106,110,189,Braveheart (1995),Action|Drama|War
107,111,106,Taxi Driver (1976),Crime|Drama|Thriller
108,112,57,Rumble in the Bronx (Hont faan kui) (1995),Action|Adventure|Comedy|Crime
109,113,151,Before and After (1996),Drama|Mystery
110,114,169,Margaret's Museum (1995),Drama
111,115,131,"Happiness Is in the Field (Bonheur est dans le pré, Le) (1995)",Comedy
112,116,129,Anne Frank Remembered (1995),Documentary
113,117,181,"Young Poisoner's Handbook, The (1995)",Crime|Drama
114,118,172,If Lucy Fell (1996),Comedy|Romance
115,119,1,"Steal Big, Steal Little (1995)",Comedy
116,120,26,Race the Sun (1996),Adventure|Comedy|Drama
117,121,25,"Boys of St. Vincent, The (1992)",Drama
118,122,180,Boomerang (1992),Comedy|Romance
119,123,169,Chungking Express (Chung Hing sam lam) (1994),Drama|Mystery|Romance
120,124,17,"Star Maker, The (Uomo delle stelle, L') (1995)",Drama
121,125,143,Flirting With Disaster (1996),Comedy
122,126,130,"NeverEnding Story III, The (1994)",Adventure|Children|Fantasy
123,127,17,"Silences of the Palace, The (Saimt el Qusur) (1994)",Drama
124,128,174,Jupiter's Wife (1994),Documentary
125,129,111,Pie in the Sky (1996),Comedy|Romance
126,131,169,Frankie Starlight (1995),Drama|Romance
127,132,85,Jade (1995),Thriller
128,135,120,Down Periscope (1996),Comedy
129,136,129,From the Journals of Jean Seberg (1995),Documentary
130,137,184,Man of the Year (1995),Documentary
131,138,17,"Neon Bible, The (1995)",Drama
132,140,172,Up Close and Personal (1996),Drama|Romance
133,141,38,"Birdcage, The (1996)",Comedy
134,144,39,"Brothers McMullen, The (1995)",Comedy
135,145,161,Bad Boys (1995),Action|Comedy|Crime|Drama|Thriller
136,146,46,"Amazing Panda Adventure, The (1995)",Adventure|Children
137,147,113,"Basketball Diaries, The (1995)",Drama
138,148,17,"Awfully Big Adventure, An (1995)",Drama
139,149,96,Amateur (1994),Crime|Drama|Thriller
140,150,187,Apollo 13 (1995),Adventure|Drama|IMAX
141,151,189,Rob Roy (1995),Action|Drama|Romance|War
142,152,93,"Addiction, The (1995)",Drama|Horror
143,153,71,Batman Forever (1995),Action|Adventure|Comedy|Crime
144,154,182,Beauty of the Day (Belle de jour) (1967),Drama
145,155,179,Beyond Rangoon (1995),Adventure|Drama|War
146,156,17,Blue in the Face (1995),Comedy|Drama
147,157,179,Canadian Bacon (1995),Comedy|War
148,158,44,Casper (1995),Adventure|Children
149,159,29,Clockers (1995),Crime|Drama|Mystery
150,160,142,Congo (1995),Action|Adventure|Mystery|Sci-Fi
151,161,37,Crimson Tide (1995),Drama|Thriller|War
152,162,174,Crumb (1994),Documentary
153,163,67,Desperado (1995),Action|Romance|Western
154,164,21,Devil in a Blue Dress (1995),Crime|Film-Noir|Mystery|Thriller
155,165,22,Die Hard: With a Vengeance (1995),Action|Crime|Thriller
156,166,36,"Doom Generation, The (1995)",Comedy|Crime|Drama
157,167,8,Feast of July (1995),Drama
158,168,172,First Knight (1995),Action|Drama|Romance
159,169,46,Free Willy 2: The Adventure Home (1995),Adventure|Children|Drama
160,170,54,Hackers (1995),Action|Adventure|Crime|Thriller
161,171,38,Jeffrey (1995),Comedy|Drama
162,172,126,Johnny Mnemonic (1995),Action|Sci-Fi|Thriller
163,173,51,Judge Dredd (1995),Action|Crime|Sci-Fi
164,174,120,Jury Duty (1995),Comedy
165,175,29,Kids (1995),Drama
166,176,1,Living in Oblivion (1995),Comedy
167,177,23,Lord of Illusions (1995),Horror
168,178,38,Love & Human Remains (1993),Comedy|Drama
169,179,169,Mad Love (1995),Drama|Romance
170,180,95,Mallrats (1995),Comedy|Romance
171,181,52,Mighty Morphin Power Rangers: The Movie (1995),Action|Children
172,182,172,Moonlight and Valentino (1995),Drama|Romance
173,183,45,Mute Witness (1994),Comedy|Horror|Thriller
174,184,93,Nadja (1994),Drama
175,185,54,"Net, The (1995)",Action|Crime|Thriller
176,186,75,Nine Months (1995),Comedy|Romance
177,187,1,Party Girl (1995),Comedy
178,188,19,"Prophecy, The (1995)",Fantasy|Horror|Mystery
179,189,56,Reckless (1995),Comedy|Fantasy
180,190,131,Safe (1995),Thriller
181,191,99,"Scarlet Letter, The (1995)",Drama|Romance
182,192,129,The Show (1995),Documentary
183,193,85,Showgirls (1995),Drama
184,194,42,Smoke (1995),Comedy|Drama
185,195,99,Something to Talk About (1995),Comedy|Drama|Romance
186,196,91,Species (1995),Horror|Sci-Fi
187,197,17,"Stars Fell on Henrietta, The (1995)",Drama
188,198,83,Strange Days (1995),Action|Crime|Drama|Mystery|Sci-Fi|Thriller
189,199,92,"Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les) (1964)",Drama|Musical|Romance
190,200,68,"Tie That Binds, The (1995)",Thriller
191,201,112,Three Wishes (1995),Drama|Fantasy
192,202,79,Total Eclipse (1995),Drama|Romance
193,203,38,"To Wong Foo, Thanks for Everything! Julie Newmar (1995)",Comedy
194,204,177,Under Siege 2: Dark Territory (1995),Action
195,205,39,Unstrung Heroes (1995),Comedy|Drama
196,206,184,Unzipped (1995),Documentary
197,207,172,"Walk in the Clouds, A (1995)",Drama|Romance
198,208,140,Waterworld (1995),Action|Adventure|Sci-Fi
199,209,110,White Man's Burden (1995),Drama
200,210,103,Wild Bill (1995),Western
201,211,17,"Browning Version, The (1994)",Drama
202,212,26,Bushwhacked (1995),Adventure|Comedy|Crime|Mystery
203,213,89,Burnt by the Sun (Utomlyonnye solntsem) (1994),Drama
204,214,32,Before the Rain (Pred dozhdot) (1994),Drama|War
205,215,172,Before Sunrise (1995),Drama|Romance
206,216,95,Billy Madison (1995),Comedy
207,217,68,"Babysitter, The (1995)",Drama|Thriller
208,218,12,Boys on the Side (1995),Comedy|Drama
209,219,25,"Cure, The (1995)",Drama
210,220,23,Castle Freak (1995),Horror
211,222,172,Circle of Friends (1995),Drama|Romance
212,223,95,Clerks (1994),Comedy
213,224,172,Don Juan DeMarco (1995),Comedy|Drama|Romance
214,225,45,Disclosure (1994),Drama|Thriller
215,227,22,Drop Zone (1994),Action|Thriller
216,228,1,Destiny Turns on the Radio (1995),Comedy
217,229,186,Death and the Maiden (1994),Drama|Thriller
218,230,7,Dolores Claiborne (1995),Drama|Thriller
219,231,95,Dumb & Dumber (Dumb and Dumber) (1994),Adventure|Comedy
220,232,39,Eat Drink Man Woman (Yin shi nan nu) (1994),Comedy|Drama|Romance
221,233,160,Exotica (1994),Drama
222,234,160,Exit to Eden (1994),Comedy
223,235,0,Ed Wood (1994),Comedy|Drama
224,236,75,French Kiss (1995),Action|Comedy|Romance
225,237,75,Forget Paris (1995),Comedy|Romance
226,238,9,Far From Home: The Adventures of Yellow Dog (1995),Adventure|Children
227,239,35,"Goofy Movie, A (1995)",Animation|Children|Comedy|Romance
228,240,68,Hideaway (1995),Thriller
229,241,9,Fluke (1995),Children|Drama
230,242,168,Farinelli: il castrato (1994),Drama|Musical
231,243,197,Gordy (1995),Children|Comedy|Fantasy
232,244,80,Gumby: The Movie (1995),Animation|Children
233,245,17,The Glass Shield (1994),Crime|Drama
234,246,113,Hoop Dreams (1994),Documentary
235,247,121,Heavenly Creatures (1994),Crime|Drama
236,248,120,Houseguest (1994),Comedy
237,249,168,Immortal Beloved (1994),Drama|Romance
238,250,46,Heavyweights (Heavy Weights) (1995),Children|Comedy
239,251,67,"Hunted, The (1995)",Action
240,252,75,I.Q. (1994),Comedy|Romance
241,253,93,Interview with the Vampire: The Vampire Chronicles (1994),Drama|Horror
242,254,168,Jefferson in Paris (1995),Drama
243,255,139,"Jerky Boys, The (1995)",Comedy
244,256,120,Junior (1994),Comedy|Sci-Fi
245,257,151,Just Cause (1995),Mystery|Thriller
246,258,192,"Kid in King Arthur's Court, A (1995)",Adventure|Children|Comedy|Fantasy|Romance
247,259,96,Kiss of Death (1995),Crime|Drama|Thriller
248,260,156,Star Wars: Episode IV - A New Hope (1977),Action|Adventure|Sci-Fi
249,261,8,Little Women (1994),Drama
250,262,46,"Little Princess, A (1995)",Children|Drama
251,263,131,Ladybird Ladybird (1994),Drama
252,264,186,"Enfer, L' (1994)",Drama
253,265,99,Like Water for Chocolate (Como agua para chocolate) (1992),Drama|Fantasy|Romance
254,266,103,Legends of the Fall (1994),Drama|Romance|War|Western
255,267,134,Major Payne (1995),Comedy
256,268,167,Little Odessa (1994),Crime|Drama
257,269,29,My Crazy Life (Mi vida loca) (1993),Drama
258,270,172,Love Affair (1994),Drama|Romance
259,271,39,Losing Isaiah (1995),Drama
260,272,168,"Madness of King George, The (1994)",Comedy|Drama
261,273,168,Mary Shelley's Frankenstein (Frankenstein) (1994),Drama|Horror|Sci-Fi
262,274,26,Man of the House (1995),Comedy
263,275,1,Mixed Nuts (1994),Comedy
264,276,26,Milk Money (1994),Comedy|Romance
265,277,39,Miracle on 34th Street (1994),Drama
266,278,99,Miami Rhapsody (1995),Comedy
267,279,39,My Family (1995),Drama
268,280,164,Murder in the First (1995),Drama|Thriller
269,281,42,Nobody's Fool (1994),Comedy|Drama|Romance
270,282,39,Nell (1994),Drama
271,283,90,New Jersey Drive (1995),Crime|Drama
272,285,147,Beyond Bedlam (1993),Drama|Horror
273,286,142,Nemesis 2: Nebula (1995),Action|Sci-Fi|Thriller
274,287,169,Nina Takes a Lover (1994),Comedy|Romance
275,288,98,Natural Born Killers (1994),Action|Crime|Thriller
276,289,172,Only You (1994),Comedy|Romance
277,290,106,Once Were Warriors (1994),Crime|Drama
278,292,6,Outbreak (1995),Action|Drama|Sci-Fi|Thriller
279,293,119,Léon: The Professional (a.k.a. The Professional) (Léon) (1994),Action|Crime|Drama|Thriller
280,294,169,"Perez Family, The (1995)",Comedy|Romance
281,295,172,"Pyromaniac's Love Story, A (1995)",Comedy|Romance
282,296,119,Pulp Fiction (1994),Comedy|Crime|Drama|Thriller
283,297,15,Panther (1995),Drama
284,298,17,Pushing Hands (Tui shou) (1992),Drama
285,299,79,Priest (1994),Drama
286,300,15,Quiz Show (1994),Drama
287,301,108,Picture Bride (Bijo photo) (1994),Drama|Romance
288,302,108,"Queen Margot (Reine Margot, La) (1994)",Drama|Romance
289,303,81,"Quick and the Dead, The (1995)",Action|Thriller|Western
290,304,39,Roommates (1995),Comedy|Drama
291,305,160,Ready to Wear (Pret-A-Porter) (1994),Comedy
292,306,112,Three Colors: Red (Trois couleurs: Rouge) (1994),Drama
293,307,148,Three Colors: Blue (Trois couleurs: Bleu) (1993),Drama
294,308,30,Three Colors: White (Trzy kolory: Bialy) (1994),Comedy|Drama
295,309,169,"Red Firecracker, Green Firecracker (Pao Da Shuang Deng) (1994)",Drama
296,310,26,Rent-a-Kid (1995),Comedy
297,311,147,Relative Fear (1994),Horror|Thriller
298,312,1,Stuart Saves His Family (1995),Comedy
299,313,35,"Swan Princess, The (1994)",Animation|Children
300,314,130,"Secret of Roan Inish, The (1994)",Children|Drama|Fantasy|Mystery
301,315,22,"Specialist, The (1994)",Action|Drama|Thriller
302,316,91,Stargate (1994),Action|Adventure|Sci-Fi
303,317,192,"Santa Clause, The (1994)",Comedy|Drama|Fantasy
304,318,164,"Shawshank Redemption, The (1994)",Crime|Drama
305,319,106,Shallow Grave (1994),Comedy|Drama|Thriller
306,320,133,Suture (1993),Film-Noir|Thriller
307,321,38,Strawberry and Chocolate (Fresa y chocolate) (1993),Drama
308,322,106,Swimming with Sharks (1995),Comedy|Drama
309,324,38,"Sum of Us, The (1994)",Comedy|Drama
310,325,134,National Lampoon's Senior Trip (1995),Comedy
311,326,89,To Live (Huozhe) (1994),Drama
312,327,71,Tank Girl (1995),Action|Comedy|Sci-Fi
313,328,23,Tales from the Crypt Presents: Demon Knight (1995),Horror|Thriller
314,329,110,Star Trek: Generations (1994),Adventure|Drama|Sci-Fi
315,330,23,Tales from the Hood (1995),Action|Crime|Horror
316,331,30,Tom & Viv (1994),Drama
317,332,77,Village of the Damned (1995),Horror|Sci-Fi
318,333,95,Tommy Boy (1995),Comedy
319,334,17,Vanya on 42nd Street (1994),Drama
320,335,151,Underneath (1995),Mystery|Thriller
321,336,179,"Walking Dead, The (1995)",Drama|War
322,337,196,What's Eating Gilbert Grape (1993),Drama
323,338,54,Virtuosity (1995),Action|Sci-Fi|Thriller
324,339,75,While You Were Sleeping (1995),Comedy|Romance
325,340,124,"War, The (1994)",Adventure|Drama|War
326,341,39,Double Happiness (1994),Drama
327,342,42,Muriel's Wedding (1994),Comedy
328,343,46,"Baby-Sitters Club, The (1995)",Children
329,344,95,Ace Ventura: Pet Detective (1994),Comedy
330,345,38,"Adventures of Priscilla, Queen of the Desert, The (1994)",Comedy|Drama
331,346,193,Backbeat (1993),Drama|Musical
332,347,133,Bitter Moon (1992),Drama|Film-Noir|Romance
333,348,1,Bullets Over Broadway (1994),Comedy
334,349,166,Clear and Present Danger (1994),Action|Crime|Drama|Thriller
335,350,167,"Client, The (1994)",Drama|Mystery|Thriller
336,351,39,"Corrina, Corrina (1994)",Comedy|Drama|Romance
337,352,39,Crooklyn (1994),Comedy|Drama
338,353,71,"Crow, The (1994)",Action|Crime|Fantasy|Thriller
339,354,0,Cobb (1994),Drama
340,355,192,"Flintstones, The (1994)",Children|Comedy|Fantasy
341,356,114,Forrest Gump (1994),Comedy|Drama|Romance|War
342,357,75,Four Weddings and a Funeral (1994),Comedy|Romance
343,358,188,Higher Learning (1995),Drama
344,359,169,I Like It Like That (1994),Comedy|Drama|Romance
345,360,143,I Love Trouble (1994),Action|Comedy
346,361,3,It Could Happen to You (1994),Comedy|Drama|Romance
347,362,197,"Jungle Book, The (1994)",Adventure|Children|Romance
348,363,129,"Wonderful, Horrible Life of Leni Riefenstahl, The (Macht der Bilder: Leni Riefenstahl, Die) (1993)",Documentary
349,364,109,"Lion King, The (1994)",Adventure|Animation|Children|Drama|Musical|IMAX
350,365,116,Little Buddha (1993),Drama
351,366,63,"Wes Craven's New Nightmare (Nightmare on Elm Street Part 7: Freddy's Finale, A) (1994)",Drama|Horror|Mystery|Thriller
352,367,134,"Mask, The (1994)",Action|Comedy|Crime|Fantasy
353,368,81,Maverick (1994),Adventure|Comedy|Western
354,369,0,Mrs. Parker and the Vicious Circle (1994),Drama
355,370,134,Naked Gun 33 1/3: The Final Insult (1994),Action|Comedy
356,371,100,"Paper, The (1994)",Comedy|Drama
357,372,188,Reality Bites (1994),Comedy|Drama|Romance
358,373,183,Red Rock West (1992),Thriller
359,374,46,Richie Rich (1994),Children|Comedy
360,375,39,Safe Passage (1994),Drama
361,376,45,"River Wild, The (1994)",Action|Thriller
362,377,6,Speed (1994),Action|Romance|Thriller
363,378,75,Speechless (1994),Comedy|Romance
364,379,110,Timecop (1994),Action|Sci-Fi|Thriller
365,380,74,True Lies (1994),Action|Adventure|Comedy|Romance|Thriller
366,381,39,When a Man Loves a Woman (1994),Drama|Romance
367,382,55,Wolf (1994),Drama|Horror|Romance|Thriller
368,383,103,Wyatt Earp (1994),Western
369,384,45,Bad Company (1995),Action|Crime|Drama
370,385,38,"Man of No Importance, A (1994)",Drama
371,386,17,S.F.W. (1994),Drama
372,387,22,"Low Down Dirty Shame, A (1994)",Action|Comedy
373,388,38,Boys Life (1995),Drama
374,389,179,"Colonel Chabert, Le (1994)",Drama|Romance|War
375,390,90,Faster Pussycat! Kill! Kill! (1965),Action|Crime|Drama
376,391,96,Jason's Lyric (1994),Crime|Drama
377,392,117,"Secret Adventures of Tom Thumb, The (1993)",Adventure|Animation
378,393,52,Street Fighter (1994),Action|Adventure|Fantasy
379,394,69,Coldblooded (1995),Comedy
380,397,23,"Fear, The (1995)",Horror
381,398,129,Frank and Ollie (1995),Documentary
382,402,1,Open Season (1996),Comedy
383,404,184,Brother Minister: The Assassination of Malcolm X (1994),Documentary
384,405,56,Highlander III: The Sorcerer (a.k.a. Highlander: The Final Dimension) (1994),Action|Fantasy
385,406,12,Federal Hill (1994),Drama
386,407,23,In the Mouth of Madness (1995),Horror|Thriller
387,408,178,8 Seconds (1994),Drama
388,409,113,Above the Rim (1994),Crime|Drama
389,410,192,Addams Family Values (1993),Children|Comedy|Fantasy
390,411,14,Martin Lawrence: You So Crazy (1994),Comedy|Documentary
391,412,50,"Age of Innocence, The (1993)",Drama
392,413,95,Airheads (1994),Comedy
393,414,113,"Air Up There, The (1994)",Comedy
394,415,139,Another Stakeout (1993),Comedy|Thriller
395,416,81,Bad Girls (1994),Western
396,417,169,Barcelona (1994),Comedy|Romance
397,418,17,Being Human (1993),Drama
398,419,120,"Beverly Hillbillies, The (1993)",Comedy
399,420,22,Beverly Hills Cop III (1994),Action|Comedy|Crime|Thriller
400,421,104,Black Beauty (1994),Adventure|Children|Drama
401,422,7,Blink (1994),Thriller
402,423,6,Blown Away (1994),Action|Thriller
403,424,113,Blue Chips (1994),Drama
404,425,169,Blue Sky (1994),Drama|Romance
405,426,86,Body Snatchers (1993),Horror|Sci-Fi|Thriller
406,427,85,Boxing Helena (1993),Drama|Mystery|Romance|Thriller
407,428,150,"Bronx Tale, A (1993)",Drama
408,429,134,Cabin Boy (1994),Comedy
409,430,111,Calendar Girl (1993),Comedy|Drama
410,431,31,Carlito's Way (1993),Crime|Drama
411,432,81,City Slickers II: The Legend of Curly's Gold (1994),Adventure|Comedy|Western
412,433,120,Clean Slate (1994),Comedy
413,434,177,Cliffhanger (1993),Action|Adventure|Thriller
414,435,86,Coneheads (1993),Comedy|Sci-Fi
415,436,85,Color of Night (1994),Drama|Thriller
416,437,120,Cops and Robbersons (1994),Comedy
417,438,120,"Cowboy Way, The (1994)",Action|Comedy|Drama
418,439,17,Dangerous Game (1993),Drama
419,440,3,Dave (1993),Comedy|Romance
420,441,70,Dazed and Confused (1993),Comedy
421,442,142,Demolition Man (1993),Action|Adventure|Sci-Fi
422,443,129,"Endless Summer 2, The (1994)",Adventure|Documentary
423,444,1,Even Cowgirls Get the Blues (1993),Comedy|Romance
424,445,120,Fatal Instinct (1993),Comedy
425,446,89,Farewell My Concubine (Ba wang bie ji) (1993),Drama|Romance
426,447,180,"Favor, The (1994)",Comedy|Romance
427,448,97,Fearless (1993),Drama
428,449,134,Fear of a Black Hat (1994),Comedy
429,450,188,With Honors (1994),Comedy|Drama
430,451,169,Flesh and Bone (1993),Drama|Mystery|Romance
431,452,39,Widows' Peak (1994),Drama
432,453,172,For Love or Money (1993),Comedy|Romance
433,454,45,"Firm, The (1993)",Drama|Thriller
434,455,46,Free Willy (1993),Adventure|Children|Drama
435,456,29,Fresh (1994),Crime|Drama|Thriller
436,457,45,"Fugitive, The (1993)",Thriller
437,458,103,Geronimo: An American Legend (1993),Drama|Western
438,459,22,"Getaway, The (1994)",Action|Adventure|Crime|Drama|Romance|Thriller
439,460,1,Getting Even with Dad (1994),Comedy
440,461,38,Go Fish (1994),Drama|Romance
441,462,2,"Good Man in Africa, A (1994)",Action|Adventure
442,463,68,Guilty as Sin (1993),Crime|Drama|Thriller
443,464,22,Hard Target (1993),Action|Adventure|Crime|Thriller
444,465,179,Heaven & Earth (1993),Action|Drama|War
445,466,134,Hot Shots! Part Deux (1993),Action|Comedy|War
446,467,36,Live Nude Girls (1995),Comedy
447,468,3,"Englishman Who Went Up a Hill But Came Down a Mountain, The (1995)",Comedy|Romance
448,469,169,"House of the Spirits, The (1993)",Drama|Romance
449,470,1,House Party 3 (1994),Comedy
450,471,143,"Hudsucker Proxy, The (1994)",Comedy
451,472,17,I'll Do Anything (1994),Comedy|Drama
452,473,120,In the Army Now (1994),Comedy|War
453,474,183,In the Line of Fire (1993),Action|Thriller
454,475,164,In the Name of the Father (1993),Drama
455,476,25,"Inkwell, The (1994)",Comedy|Drama
456,477,0,What's Love Got to Do with It? (1993),Drama|Musical
457,478,1,Jimmy Hollywood (1994),Comedy|Crime|Drama
458,479,161,Judgment Night (1993),Action|Crime|Thriller
459,480,126,Jurassic Park (1993),Action|Adventure|Sci-Fi|Thriller
460,481,98,Kalifornia (1993),Drama|Thriller
461,482,119,Killing Zoe (1994),Crime|Drama|Thriller
462,483,121,King of the Hill (1993),Drama
463,484,9,Lassie (1994),Adventure|Children
464,485,52,Last Action Hero (1993),Action|Adventure|Comedy|Fantasy
465,486,26,Life with Mikey (1993),Comedy
466,487,81,Lightning Jack (1994),Comedy|Western
467,488,169,M. Butterfly (1993),Drama|Romance
468,489,1,Made in America (1993),Comedy
469,490,45,Malice (1993),Thriller
470,491,178,"Man Without a Face, The (1993)",Drama
471,492,159,Manhattan Murder Mystery (1993),Comedy|Mystery
472,493,31,Menace II Society (1993),Action|Crime|Drama
473,494,6,Executive Decision (1996),Action|Adventure|Thriller
474,495,182,In the Realm of the Senses (Ai no corrida) (1976),Drama
475,496,68,What Happened Was... (1994),Comedy|Drama|Romance|Thriller
476,497,3,Much Ado About Nothing (1993),Comedy|Romance
477,498,169,Mr. Jones (1993),Drama|Romance
478,499,75,Mr. Wonderful (1993),Comedy|Romance
479,500,26,Mrs. Doubtfire (1993),Comedy|Drama
480,501,196,Naked (1993),Drama
481,502,111,"Next Karate Kid, The (1994)",Action|Children|Romance
482,503,148,"New Age, The (1994)",Drama
483,504,10,No Escape (1994),Action|Drama|Sci-Fi
484,505,26,North (1994),Comedy
485,506,168,Orlando (1992),Drama|Fantasy|Romance
486,507,96,"Perfect World, A (1993)",Crime|Drama|Thriller
487,508,79,Philadelphia (1993),Drama
488,509,8,"Piano, The (1993)",Drama|Romance
489,510,17,Poetic Justice (1993),Drama
490,511,199,"Program, The (1993)",Action|Drama
491,512,86,"Puppet Masters, The (1994)",Horror|Sci-Fi
492,513,143,Radioland Murders (1994),Comedy|Mystery|Romance
493,514,60,"Ref, The (1994)",Comedy
494,515,8,"Remains of the Day, The (1993)",Drama|Romance
