,movieid,Cluster,title,genres,avg_rating,rating_counts
192,202,79,Total Eclipse (1995),Drama|Romance,3.0543478260869565,414
193,203,38,"To Wong Foo, Thanks for Everything! Julie Newmar (1995)",Comedy,3.1462450592885376,5060
194,204,177,Under Siege 2: Dark Territory (1995),Action,2.926604922608475,7882
195,205,39,Unstrung Heroes (1995),Comedy|Drama,3.5,1213
196,206,184,Unzipped (1995),Documentary,3.448717948717949,936
197,207,172,"Walk in the Clouds, A (1995)",Drama|Romance,3.3732562774013557,5018
198,208,140,Waterworld (1995),Action|Adventure|Sci-Fi,2.8652335902399826,27377
199,209,110,White Man's Burden (1995),Drama,2.8105726872246697,681
200,210,103,Wild Bill (1995),Western,2.887024608501118,447
201,211,17,"Browning Version, The (1994)",Drama,3.584600760456274,526
202,212,26,Bushwhacked (1995),Adventure|Comedy|Crime|Mystery,2.5657276995305165,426
203,213,89,Burnt by the Sun (Utomlyonnye solntsem) (1994),Drama,4.01654306902453,1753
204,214,32,Before the Rain (Pred dozhdot) (1994),Drama|War,4.026966292134832,890
205,215,172,Before Sunrise (1995),Drama|Romance,3.914843512610149,6582
206,216,95,Billy Madison (1995),Comedy,3.2408267020335986,9048
207,217,68,"Babysitter, The (1995)",Drama|Thriller,2.728191489361702,940
208,218,12,Boys on the Side (1995),Comedy|Drama,3.285843685300207,3864
209,219,25,"Cure, The (1995)",Drama,3.606112054329372,589
210,220,23,Castle Freak (1995),Horror,2.4482758620689653,290
211,222,172,Circle of Friends (1995),Drama|Romance,3.5284704131001114,5374
212,223,95,Clerks (1994),Comedy,3.847214137214137,24050
213,224,172,Don Juan DeMarco (1995),Comedy|Drama|Romance,3.4449993597131514,7809
214,225,45,Disclosure (1994),Drama|Thriller,3.2840320910973086,11592
215,227,22,Drop Zone (1994),Action|Thriller,3.061828598710909,4189
216,228,1,Destiny Turns on the Radio (1995),Comedy,2.69151376146789,436
217,229,186,Death and the Maiden (1994),Drama|Thriller,3.5625,2256
218,230,7,Dolores Claiborne (1995),Drama|Thriller,3.588200326943082,6729
219,231,95,Dumb & Dumber (Dumb and Dumber) (1994),Adventure|Comedy,2.964968752944132,31843
220,232,39,Eat Drink Man Woman (Yin shi nan nu) (1994),Comedy|Drama|Romance,4.027935943060498,5620
221,233,160,Exotica (1994),Drama,3.533083645443196,3204
222,234,160,Exit to Eden (1994),Comedy,2.6703929539295395,2952
223,235,0,Ed Wood (1994),Comedy|Drama,3.664388396868181,15582
224,236,75,French Kiss (1995),Action|Comedy|Romance,3.3150479880250066,11357
225,237,75,Forget Paris (1995),Comedy|Romance,3.2214038128249567,5770
226,238,9,Far From Home: The Adventures of Yellow Dog (1995),Adventure|Children,3.16579634464752,766
227,239,35,"Goofy Movie, A (1995)",Animation|Children|Comedy|Romance,3.08521377672209,3368
228,240,68,Hideaway (1995),Thriller,2.910783055198973,779
229,241,9,Fluke (1995),Children|Drama,3.026119402985074,536
230,242,168,Farinelli: il castrato (1994),Drama|Musical,3.3855,1000
231,243,197,Gordy (1995),Children|Comedy|Fantasy,2.537735849056604,424
232,244,80,Gumby: The Movie (1995),Animation|Children,2.375451263537906,277
233,245,17,The Glass Shield (1994),Crime|Drama,2.968619246861925,239
234,246,113,Hoop Dreams (1994),Documentary,4.028236985316767,9739
235,247,121,Heavenly Creatures (1994),Crime|Drama,3.8224384098544233,7144
236,248,120,Houseguest (1994),Comedy,3.008025122121424,2866
237,249,168,Immortal Beloved (1994),Drama|Romance,3.675253192426244,4542
238,250,46,Heavyweights (Heavy Weights) (1995),Children|Comedy,3.07516339869281,918
239,251,67,"Hunted, The (1995)",Action,3.057184750733138,341
240,252,75,I.Q. (1994),Comedy|Romance,3.215840517241379,9280
241,253,93,Interview with the Vampire: The Vampire Chronicles (1994),Drama|Horror,3.508920477209269,27577
242,254,168,Jefferson in Paris (1995),Drama,2.9111498257839723,574
243,255,139,"Jerky Boys, The (1995)",Comedy,2.277948717948718,975
244,256,120,Junior (1994),Comedy|Sci-Fi,2.7017581020970134,9442
245,257,151,Just Cause (1995),Mystery|Thriller,3.4075381140598533,3542
246,258,192,"Kid in King Arthur's Court, A (1995)",Adventure|Children|Comedy|Fantasy|Romance,2.6281328320802007,1596
247,259,96,Kiss of Death (1995),Crime|Drama|Thriller,3.060162601626016,1845
248,260,156,Star Wars: Episode IV - A New Hope (1977),Action|Adventure|Sci-Fi,4.120188599618726,68717
249,261,8,Little Women (1994),Drama,3.627589063794532,9656
250,262,46,"Little Princess, A (1995)",Children|Drama,3.7653443113772456,4008
251,263,131,Ladybird Ladybird (1994),Drama,3.745923913043478,368
252,264,186,"Enfer, L' (1994)",Drama,3.374233128834356,163
253,265,99,Like Water for Chocolate (Como agua para chocolate) (1992),Drama|Fantasy|Romance,3.921667748817364,10781
254,266,103,Legends of the Fall (1994),Drama|Romance|War|Western,3.5003490069166827,15759
255,267,134,Major Payne (1995),Comedy,2.886744743146127,3757
256,268,167,Little Odessa (1994),Crime|Drama,3.306167400881057,681
257,269,29,My Crazy Life (Mi vida loca) (1993),Drama,3.4518181818181817,550
258,270,172,Love Affair (1994),Drama|Romance,3.170042194092827,1185
259,271,39,Losing Isaiah (1995),Drama,3.334358523725834,1138
260,272,168,"Madness of King George, The (1994)",Comedy|Drama,3.740050448430493,7136
261,273,168,Mary Shelley's Frankenstein (Frankenstein) (1994),Drama|Horror|Sci-Fi,3.132062978222484,6796
262,274,26,Man of the House (1995),Comedy,2.8387665198237886,1135
263,275,1,Mixed Nuts (1994),Comedy,2.7166089965397924,1445
264,276,26,Milk Money (1994),Comedy|Romance,2.978864734299517,4968
265,277,39,Miracle on 34th Street (1994),Drama,3.404886867273152,8574
266,278,99,Miami Rhapsody (1995),Comedy,3.021194605009634,1038
267,279,39,My Family (1995),Drama,3.697399527186761,846
268,280,164,Murder in the First (1995),Drama|Thriller,3.717200854700855,4680
269,281,42,Nobody's Fool (1994),Comedy|Drama|Romance,3.661371237458194,3588
270,282,39,Nell (1994),Drama,3.409440492213036,10402
271,283,90,New Jersey Drive (1995),Crime|Drama,3.0472972972972974,222
272,285,147,Beyond Bedlam (1993),Drama|Horror,2.26875,80
273,286,142,Nemesis 2: Nebula (1995),Action|Sci-Fi|Thriller,2.066326530612245,98
274,287,169,Nina Takes a Lover (1994),Comedy|Romance,3.2524590163934426,305
275,288,98,Natural Born Killers (1994),Action|Crime|Thriller,3.2577711853476075,23259
276,289,172,Only You (1994),Comedy|Romance,3.3515018562267973,2963
277,290,106,Once Were Warriors (1994),Crime|Drama,3.9737263270205383,3749
278,292,6,Outbreak (1995),Action|Drama|Sci-Fi|Thriller,3.4105008077544428,24760
279,293,119,Léon: The Professional (a.k.a. The Professional) (Léon) (1994),Action|Crime|Drama|Thriller,4.0885985748218525,33680
280,294,169,"Perez Family, The (1995)",Comedy|Romance,3.16023166023166,777
281,295,172,"Pyromaniac's Love Story, A (1995)",Comedy|Romance,2.770238095238095,420
282,296,119,Pulp Fiction (1994),Comedy|Crime|Drama|Thriller,4.188912039361382,79672
283,297,15,Panther (1995),Drama,3.1546184738955825,249
284,298,17,Pushing Hands (Tui shou) (1992),Drama,3.524229074889868,227
285,299,79,Priest (1994),Drama,3.71598995395563,2389
286,300,15,Quiz Show (1994),Drama,3.66378901931884,18997
287,301,108,Picture Bride (Bijo photo) (1994),Drama|Romance,3.5239234449760763,418
288,302,108,"Queen Margot (Reine Margot, La) (1994)",Drama|Romance,3.7267721954576736,1453
289,303,81,"Quick and the Dead, The (1995)",Action|Thriller|Western,3.043248622167789,6532
290,304,39,Roommates (1995),Comedy|Drama,3.1710122699386503,652
291,305,160,Ready to Wear (Pret-A-Porter) (1994),Comedy,2.710305958132045,3105
292,306,112,Three Colors: Red (Trois couleurs: Rouge) (1994),Drama,4.072966846132049,7058
293,307,148,Three Colors: Blue (Trois couleurs: Bleu) (1993),Drama,3.981408706166868,6616
294,308,30,Three Colors: White (Trzy kolory: Bialy) (1994),Comedy|Drama,3.902458210422812,5085
295,309,169,"Red Firecracker, Green Firecracker (Pao Da Shuang Deng) (1994)",Drama,3.622302158273381,417
296,310,26,Rent-a-Kid (1995),Comedy,2.8095238095238093,231
297,311,147,Relative Fear (1994),Horror|Thriller,2.651315789473684,76
298,312,1,Stuart Saves His Family (1995),Comedy,2.62125,1200
299,313,35,"Swan Princess, The (1994)",Animation|Children,3.0378315132605302,1282
300,314,130,"Secret of Roan Inish, The (1994)",Children|Drama|Fantasy|Mystery,3.849933774834437,3775
301,315,22,"Specialist, The (1994)",Action|Drama|Thriller,2.8919378338999517,10295
302,316,91,Stargate (1994),Action|Adventure|Sci-Fi,3.371061145260433,30910
303,317,192,"Santa Clause, The (1994)",Comedy|Drama|Fantasy,3.128074747346342,15733
304,318,164,"Shawshank Redemption, The (1994)",Crime|Drama,4.413576004516335,81482
305,319,106,Shallow Grave (1994),Comedy|Drama|Thriller,3.775382785788613,6727
306,320,133,Suture (1993),Film-Noir|Thriller,3.240802675585284,299
307,321,38,Strawberry and Chocolate (Fresa y chocolate) (1993),Drama,3.768585131894485,834
308,322,106,Swimming with Sharks (1995),Comedy|Drama,3.668214285714286,2800
309,324,38,"Sum of Us, The (1994)",Comedy|Drama,3.672853828306264,431
310,325,134,National Lampoon's Senior Trip (1995),Comedy,2.646161934805468,951
311,326,89,To Live (Huozhe) (1994),Drama,4.079659706109823,1293
312,327,71,Tank Girl (1995),Action|Comedy|Sci-Fi,2.816469884920042,6691
313,328,23,Tales from the Crypt Presents: Demon Knight (1995),Horror|Thriller,3.146257031588057,2311
314,329,110,Star Trek: Generations (1994),Adventure|Drama|Sci-Fi,3.322669104204753,24615
315,330,23,Tales from the Hood (1995),Action|Crime|Horror,2.7893992932862197,1415
316,331,30,Tom & Viv (1994),Drama,3.264646464646465,495
317,332,77,Village of the Damned (1995),Horror|Sci-Fi,2.773307163886163,2038
318,333,95,Tommy Boy (1995),Comedy,3.356478068558791,10852
319,334,17,Vanya on 42nd Street (1994),Drama,3.816722408026756,1495
320,335,151,Underneath (1995),Mystery|Thriller,3.26171875,384
321,336,179,"Walking Dead, The (1995)",Drama|War,2.835205992509364,267
322,337,196,What's Eating Gilbert Grape (1993),Drama,3.7512185215272136,17234
323,338,54,Virtuosity (1995),Action|Sci-Fi|Thriller,2.9854872149274363,4341
324,339,75,While You Were Sleeping (1995),Comedy|Romance,3.4993894441680613,22111
325,340,124,"War, The (1994)",Adventure|Drama|War,3.3774436090225564,1330
326,341,39,Double Happiness (1994),Drama,3.5639204545454546,352
327,342,42,Muriel's Wedding (1994),Comedy,3.507638565440149,10735
328,343,46,"Baby-Sitters Club, The (1995)",Children,2.6692037470725998,854
329,344,95,Ace Ventura: Pet Detective (1994),Comedy,2.9898406002189413,37453
330,345,38,"Adventures of Priscilla, Queen of the Desert, The (1994)",Comedy|Drama,3.642062742629315,9531
331,346,193,Backbeat (1993),Drama|Musical,3.409970958373669,1033
332,347,133,Bitter Moon (1992),Drama|Film-Noir|Romance,3.44702842377261,1548
333,348,1,Bullets Over Broadway (1994),Comedy,3.695364238410596,7399
334,349,166,Clear and Present Danger (1994),Action|Crime|Drama|Thriller,3.6551898004754015,27766
335,350,167,"Client, The (1994)",Drama|Mystery|Thriller,3.466657593903103,14696
336,351,39,"Corrina, Corrina (1994)",Comedy|Drama|Romance,3.3049367850692355,3322
337,352,39,Crooklyn (1994),Comedy|Drama,3.280944625407166,1228
338,353,71,"Crow, The (1994)",Action|Crime|Fantasy|Thriller,3.517972748011591,16219
339,354,0,Cobb (1994),Drama,3.135689354275742,1146
340,355,192,"Flintstones, The (1994)",Children|Comedy|Fantasy,2.4127870563674323,9580
341,356,114,Forrest Gump (1994),Comedy|Drama|Romance|War,4.048011436845787,81491
342,357,75,Four Weddings and a Funeral (1994),Comedy|Romance,3.640832678123479,26709
343,358,188,Higher Learning (1995),Drama,3.2518072289156628,2075
344,359,169,I Like It Like That (1994),Comedy|Drama|Romance,3.296875,256
345,360,143,I Love Trouble (1994),Action|Comedy,2.72088772845953,1915
346,361,3,It Could Happen to You (1994),Comedy|Drama|Romance,3.326783114992722,4809
347,362,197,"Jungle Book, The (1994)",Adventure|Children|Romance,3.377949377949378,6993
348,363,129,"Wonderful, Horrible Life of Leni Riefenstahl, The (Macht der Bilder: Leni Riefenstahl, Die) (1993)",Documentary,3.993220338983051,590
349,364,109,"Lion King, The (1994)",Adventure|Animation|Children|Drama|Musical|IMAX,3.817136507193824,42745
350,365,116,Little Buddha (1993),Drama,3.1569086651053864,1708
