,0
58,"Gods Must Be Crazy, The (1980)"
59,"Untouchables, The (1987)"
60,"Few Good Men, A (1992)"
61,Antz (1998)
62,"Bug's Life, A (1998)"
63,Waking Ned Devine (a.k.a. Waking Ned) (1998)
64,Crocodile Dundee (1986)
65,October Sky (1999)
66,"Matrix, The (1999)"
67,Superman (1978)
68,"Mission, The (1986)"
69,Ferris Bueller's Day Off (1986)
70,Toy Story 2 (1999)
71,Hoosiers (a.k.a. Best Shot) (1986)
72,"Muppet Movie, The (1979)"
73,Gladiator (2000)
74,X-Men (2000)
75,"Emperor's New Groove, The (2000)"
76,Cast Away (2000)
77,Empire of the Sun (1987)
78,"Knight's Tale, A (2001)"
79,Shrek (2001)
80,K-PAX (2001)
81,"Monsters, Inc. (2001)"
82,Harry Potter and the Sorcerer's Stone (a.k.a. Harry Potter and the Philosopher's Stone) (2001)
83,"Lord of the Rings: The Fellowship of the Ring, The (2001)"
84,"Beautiful Mind, A (2001)"
85,"Sandlot, The (1993)"
86,Spider-Man (2002)
87,"Bourne Identity, The (2002)"
88,Harry Potter and the Chamber of Secrets (2002)
89,"Lord of the Rings: The Two Towers, The (2002)"
90,"Other Side of Heaven, The (2001)"
91,X2: X-Men United (2003)
92,Pirates of the Caribbean: The Curse of the Black Pearl (2003)
93,Runaway Jury (2003)
94,"Court Jester, The (1956)"
95,"Last Samurai, The (2003)"
96,"Lord of the Rings: The Return of the King, The (2003)"
97,"Power of One, The (1992)"
98,Harry Potter and the Prisoner of Azkaban (2004)
99,Spider-Man 2 (2004)
100,"Incredibles, The (2004)"
101,Finding Neverland (2004)
102,"Interpreter, The (2005)"
103,Hotel Rwanda (2004)
104,Star Wars: Episode III - Revenge of the Sith (2005)
105,Cinderella Man (2005)
106,Batman Begins (2005)
107,Harry Potter and the Goblet of Fire (2005)
108,"City of Lost Children, The (Cité des enfants perdus, La) (1995)"
109,Twelve Monkeys (a.k.a. 12 Monkeys) (1995)
110,"Usual Suspects, The (1995)"
111,Before the Rain (Pred dozhdot) (1994)
112,Léon: The Professional (a.k.a. The Professional) (Léon) (1994)
113,Blade Runner (1982)
114,Ghost in the Shell (Kôkaku kidôtai) (1995)
115,Wallace & Gromit: A Close Shave (1995)
116,Trainspotting (1996)
117,"Godfather, The (1972)"
118,Casablanca (1942)
119,2001: A Space Odyssey (1968)
120,Wallace & Gromit: The Wrong Trousers (1993)
121,Goodfellas (1990)
122,Ran (1985)
123,"Godfather: Part II, The (1974)"
124,Chinatown (1974)
125,Akira (1988)
126,"Fifth Element, The (1997)"
127,"Big Lebowski, The (1998)"
128,Dark City (1998)
129,Seven Samurai (Shichinin no samurai) (1954)
130,American History X (1998)
131,"Lock, Stock & Two Smoking Barrels (1998)"
132,American Beauty (1999)
133,Fight Club (1999)
134,Bicentennial Man (1999)
135,Pitch Black (2000)
136,Mad Max (1979)
137,Quills (2000)
138,"O Brother, Where Art Thou? (2000)"
139,Scarface (1983)
140,Rashomon (Rashômon) (1950)
141,25th Hour (2002)
142,Cowboy Bebop: The Movie (Cowboy Bebop: Tengoku no Tobira) (2001)
143,Mystic River (2003)
144,Kill Bill: Vol. 1 (2003)
145,Big Fish (2003)
146,"Chronicles of Riddick, The (2004)"
147,Dark Portals: The Chronicles of Vidocq  (Vidocq) (2001)
148,Ghost in the Shell 2: Innocence (a.k.a. Innocence) (Inosensu) (2004)
149,Old Boy (2003)
150,Night Watch (Nochnoy dozor) (2004)
151,Capote (2005)
152,"Pan's Labyrinth (Laberinto del fauno, El) (2006)"
153,"Departed, The (2006)"
154,Day Watch (Dnevnoy dozor) (2006)
155,No Country for Old Men (2007)
156,"Golden Compass, The (2007)"
157,There Will Be Blood (2007)
158,"Dark Knight, The (2008)"
159,Watchmen (2009)
160,"Girl with the Dragon Tattoo, The (Män som hatar kvinnor) (2009)"
161,9 (2009)
162,Inception (2010)
163,Black Swan (2010)
164,Riddick (2013)
165,"Wolf of Wall Street, The (2013)"
166,Whiplash (2014)
167,Gone Girl (2014)
168,Ex Machina (2015)
169,Ghost in the Shell 2.0 (2008)
170,Blade Runner 2049 (2017)
171,Deadpool 2 (2018)
172,Saving Private Ryan (1998)
173,Ocean's Eleven (2001)
174,Super Troopers (2001)
175,Spirited Away (Sen to Chihiro no kamikakushi) (2001)
176,Lucky Number Slevin (2006)
177,"Prestige, The (2006)"
178,Ratatouille (2007)
179,Hot Fuzz (2007)
180,Pirates of the Caribbean: At World's End (2007)
181,Death at a Funeral (2007)
182,In Bruges (2008)
183,Up (2009)
184,District 9 (2009)
185,Shutter Island (2010)
186,Scott Pilgrim vs. the World (2010)
187,Tucker & Dale vs Evil (2010)
188,"Dark Knight Rises, The (2012)"
189,"Cabin in the Woods, The (2012)"
190,Dredd (2012)
191,Snowpiercer (2013)
192,"Grand Budapest Hotel, The (2014)"
193,Interstellar (2014)
194,Nightcrawler (2014)
195,Kingsman: The Secret Service (2015)
196,Mad Max: Fury Road (2015)
197,The Man from U.N.C.L.E. (2015)
198,The Revenant (2015)
199,Sicario (2015)
200,Zootopia (2016)
201,Planet Earth (2006)
202,Arrival (2016)
203,John Wick: Chapter Two (2017)
204,Planet Earth II (2016)
205,Baby Driver (2017)
206,Dunkirk (2017)
207,Annihilation (2018)
208,Spider-Man: Into the Spider-Verse (2018)
209,John Wick: Chapter 3 – Parabellum (2019)
210,Ford v. Ferrari (2019)
211,Dead Man Walking (1995)
212,Seven (a.k.a. Se7en) (1995)
213,"Birdcage, The (1996)"
214,"Basketball Diaries, The (1995)"
215,Apollo 13 (1995)
216,Outbreak (1995)
217,What's Eating Gilbert Grape (1993)
218,"War, The (1994)"
219,"Client, The (1994)"
220,"Silence of the Lambs, The (1991)"
221,Primal Fear (1996)
222,Mystery Science Theater 3000: The Movie (1996)
223,Phenomenon (1996)
224,Sleepers (1996)
225,"Sting, The (1973)"
226,Dead Poets Society (1989)
227,Shine (1996)
228,Scream (1996)
229,Fargo (1996)
230,"Wizard of Oz, The (1939)"
231,Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981)
232,12 Angry Men (1957)
233,Good Will Hunting (1997)
234,"Postman, The (Postino, Il) (1994)"
235,Three Colors: Red (Trois couleurs: Rouge) (1994)
236,Friday (1995)
237,Happy Gilmore (1996)
238,Rumble in the Bronx (Hont faan kui) (1995)
239,Bad Boys (1995)
240,Crimson Tide (1995)
241,Die Hard: With a Vengeance (1995)
242,Strange Days (1995)
243,Ace Ventura: Pet Detective (1994)
244,Speed (1994)
245,True Lies (1994)
246,"Firm, The (1993)"
247,Aladdin (1992)
248,Mission: Impossible (1996)
249,Eraser (1996)
250,Basic Instinct (1992)
251,Glory (1989)
252,"Shining, The (1980)"
253,Under Siege (1992)
254,Liar Liar (1997)
255,Con Air (1997)
256,Face/Off (1997)
257,L.A. Confidential (1997)
258,Jackie Brown (1997)
259,Jumanji (1995)
260,GoldenEye (1995)
261,Anne Frank Remembered (1995)
262,First Knight (1995)
263,Disclosure (1994)
264,Junior (1994)
265,Miracle on 34th Street (1994)
266,Star Trek: Generations (1994)
267,"Flintstones, The (1994)"
268,"Jungle Book, The (1994)"
269,Cliffhanger (1993)
270,Mrs. Doubtfire (1993)
271,RoboCop 3 (1993)
272,Sleepless in Seattle (1993)
273,Home Alone (1990)
274,Ghost (1990)
275,Snow White and the Seven Dwarfs (1937)
276,Pretty Woman (1990)
277,"Aristocats, The (1970)"
278,Bloodsport 2 (a.k.a. Bloodsport II: The Next Kumite) (1996)
279,"Time to Kill, A (1996)"
280,My Fair Lady (1964)
281,Gone with the Wind (1939)
282,"Davy Crockett, King of the Wild Frontier (1955)"
283,Mary Poppins (1964)
284,Bedknobs and Broomsticks (1971)
285,"Sound of Music, The (1965)"
286,Willy Wonka & the Chocolate Factory (1971)
287,Dirty Dancing (1987)
288,"Bridge on the River Kwai, The (1957)"
289,"Birds, The (1963)"
290,101 Dalmatians (1996)
291,Star Trek: The Motion Picture (1979)
292,Star Trek VI: The Undiscovered Country (1991)
293,Star Trek V: The Final Frontier (1989)
294,Star Trek III: The Search for Spock (1984)
295,Grease (1978)
296,28 Days Later (2002)
297,21 Up (1977)
298,Reality Bites (1994)
299,"Simpsons Movie, The (2007)"
300,Casino (1995)
301,Living in Oblivion (1995)
302,Batman (1989)
303,"Last Supper, The (1995)"
304,"Philadelphia Story, The (1940)"
305,North by Northwest (1959)
306,Charade (1963)
307,Citizen Kane (1941)
308,All About Eve (1950)
309,Secrets & Lies (1996)
310,Swingers (1996)
311,"Fish Called Wanda, A (1988)"
312,E.T. the Extra-Terrestrial (1982)
313,Private Benjamin (1980)
314,Delicatessen (1991)
315,To Kill a Mockingbird (1962)
316,Army of Darkness (1993)
317,Psycho (1960)
318,Harold and Maude (1971)
319,Rosencrantz and Guildenstern Are Dead (1990)
320,Manhattan (1979)
321,Stand by Me (1986)
322,This Is Spinal Tap (1984)
323,Cape Fear (1991)
324,Raising Arizona (1987)
325,Austin Powers: International Man of Mystery (1997)
326,Sliding Doors (1998)
327,As Good as It Gets (1997)
328,Kramer vs. Kramer (1979)
329,"Breakfast Club, The (1985)"
330,"Goonies, The (1985)"
331,And the Band Played On (1993)
332,Sixteen Candles (1984)
333,Beetlejuice (1988)
334,Edward Scissorhands (1990)
335,Rushmore (1998)
336,Clue (1985)
337,Bowfinger (1999)
338,Monty Python's And Now for Something Completely Different (1971)
339,Airplane! (1980)
340,"Hard Day's Night, A (1964)"
341,Boys Don't Cry (1999)
342,Peter's Friends (1992)
343,"Commitments, The (1991)"
344,To Sir with Love (1967)
345,"Muppets Take Manhattan, The (1984)"
346,Guess Who's Coming to Dinner (1967)
347,High Fidelity (2000)
348,"Odd Couple, The (1968)"
349,Small Time Crooks (2000)
350,Soapdish (1991)
351,Almost Famous (2000)
352,Best in Show (2000)
353,Billy Elliot (2000)
354,Bagdad Cafe (Out of Rosenheim) (1987)
355,"Royal Tenenbaums, The (2001)"
356,Saturday Night and Sunday Morning (1960)
357,About a Boy (2002)
358,84 Charing Cross Road (1987)
359,"Triplets of Belleville, The (Les triplettes de Belleville) (2003)"
360,Educating Rita (1983)
361,"Bill Cosby, Himself (1983)"
362,Shaun of the Dead (2004)
363,Sideways (2004)
364,Life Is Sweet (1990)
365,Broken Flowers (2005)
366,"Lives of Others, The (Das leben der Anderen) (2006)"
367,"Inconvenient Truth, An (2006)"
368,"Last King of Scotland, The (2006)"
369,Casino Royale (2006)
370,Letters from Iwo Jima (2006)
371,This Is England (2006)
372,Persepolis (2007)
373,Vicky Cristina Barcelona (2008)
374,Frost/Nixon (2008)
375,In the Loop (2009)
376,Moon (2009)
377,"Hangover, The (2009)"
378,Julie & Julia (2009)
379,"Education, An (2009)"
380,Dumb & Dumber (Dumb and Dumber) (1994)
381,Dazed and Confused (1993)
382,"Nightmare Before Christmas, The (1993)"
383,Reservoir Dogs (1992)
384,"Good, the Bad and the Ugly, The (Buono, il brutto, il cattivo, Il) (1966)"
385,"Clockwork Orange, A (1971)"
386,Alien (1979)
387,Unforgiven (1992)
388,Back to the Future (1985)
389,Young Frankenstein (1974)
390,"American Tail: Fievel Goes West, An (1991)"
391,Office Space (1999)
392,Ghostbusters (a.k.a. Ghost Busters) (1984)
393,"Iron Giant, The (1999)"
394,Princess Mononoke (Mononoke-hime) (1997)
395,Jeremiah Johnson (1972)
396,"River Runs Through It, A (1992)"
397,"Green Mile, The (1999)"
398,"Boondock Saints, The (2000)"
399,"Outlaw Josey Wales, The (1976)"
400,Blazing Saddles (1974)
401,For a Few Dollars More (Per qualche dollaro in più) (1965)
402,"Legend of Drunken Master, The (Jui kuen II) (1994)"
403,"Crouching Tiger, Hidden Dragon (Wo hu cang long) (2000)"
404,Snatch (2000)
405,Memento (2000)
406,Donnie Darko (2001)
407,Gangs of New York (2002)
408,Catch Me If You Can (2002)
409,Ninja Scroll (Jûbei ninpûchô) (1995)
410,Hero (Ying xiong) (2002)
411,Dawn of the Dead (2004)
412,Man on Fire (2004)
413,Enter the Dragon (1973)
414,"Bourne Supremacy, The (2004)"
415,Garden State (2004)
416,"Animatrix, The (2003)"
417,Layer Cake (2004)
418,"Life Aquatic with Steve Zissou, The (2004)"
419,Kung Fu Hustle (Gong fu) (2004)
420,Sin City (2005)
421,Serenity (2005)
422,King Kong (2005)
423,"World's Fastest Indian, The (2005)"
424,V for Vendetta (2006)
425,Thank You for Smoking (2006)
426,Jet Li's Fearless (Huo Yuan Jia) (2006)
427,Little Miss Sunshine (2006)
428,Children of Men (2006)
429,"Bourne Ultimatum, The (2007)"
430,3:10 to Yuma (2007)
431,Into the Wild (2007)
432,"Assassination of Jesse James by the Coward Robert Ford, The (2007)"
433,"Mist, The (2007)"
434,Cloverfield (2008)
435,Religulous (2008)
436,Iron Man (2008)
437,WALL·E (2008)
438,"Road, The (2009)"
439,Quantum of Solace (2008)
440,Fantastic Mr. Fox (2009)
441,True Grit (2010)
442,Groundhog Day (1993)
443,Kill Bill: Vol. 2 (2004)
444,Stranger than Fiction (2006)
445,Slumdog Millionaire (2008)
446,Gran Torino (2008)
447,Intouchables (2011)
448,Moonrise Kingdom (2012)
449,Edge of Tomorrow (2014)
450,So I Married an Axe Murderer (1993)
451,Rebel Without a Cause (1955)
452,"English Patient, The (1996)"
453,"Saint, The (1997)"
454,Grosse Pointe Blank (1997)
455,In the Company of Men (1997)
456,Air Force One (1997)
457,There's Something About Mary (1998)
458,Rain Man (1988)
459,Your Friends and Neighbors (1998)
460,Very Bad Things (1998)
461,"Thin Red Line, The (1998)"
462,"Thirteenth Floor, The (1999)"
463,Buena Vista Social Club (1999)
464,Being John Malkovich (1999)
465,Falling Down (1993)
466,"Fisher King, The (1991)"
467,Boiler Room (2000)
468,One Flew Over the Cuckoo's Nest (1975)
469,"Terminator, The (1984)"
470,Life Is Beautiful (La Vita è bella) (1997)
471,"Pianist, The (2002)"
472,Laputa: Castle in the Sky (Tenkû no shiro Rapyuta) (1986)
473,Howl's Moving Castle (Hauru no ugoku shiro) (2004)
474,Kung Fu Panda (2008)
475,Madagascar: Escape 2 Africa (2008)
476,Avatar (2009)
477,Despicable Me (2010)
478,Iron Man 3 (2013)
479,Now You See Me (2013)
480,Big Hero 6 (2014)
481,Apocalypse Now (1979)
482,"Blues Brothers, The (1980)"
483,"Mummy, The (1999)"
484,"Sixth Sense, The (1999)"
485,Caddyshack (1980)
486,The Count of Monte Cristo (2002)
487,Chungking Express (Chung Hing sam lam) (1994)
488,"Great Dictator, The (1940)"
489,Metropolis (1927)
490,Perfect Blue (1997)
491,"Kid, The (1921)"
492,"Others, The (2001)"
493,Grave of the Fireflies (Hotaru no haka) (1988)
494,My Neighbor Totoro (Tonari no Totoro) (1988)
495,"Red Shoes, The (1948)"
496,Millennium Actress (Sennen joyû) (2001)
497,To Be and to Have (Être et avoir) (2002)
498,Battle Royale (Batoru rowaiaru) (2000)
499,Nausicaä of the Valley of the Wind (Kaze no tani no Naushika) (1984)
500,Jin Roh: The Wolf Brigade (Jin-Rô) (1998)
501,Tokyo Godfathers (2003)
502,Kiki's Delivery Service (Majo no takkyûbin) (1989)
503,Porco Rosso (Crimson Pig) (Kurenai no buta) (1992)
504,Whisper of the Heart (Mimi wo sumaseba) (1995)
505,"Neon Genesis Evangelion: The End of Evangelion (Shin seiki Evangelion Gekijô-ban: Air/Magokoro wo, kimi ni) (1997)"
506,3-Iron (Bin-jip) (2004)
507,Kamikaze Girls (Shimotsuma monogatari) (2004)
508,"Man Who Planted Trees, The (Homme qui plantait des arbres, L') (1987)"
509,"Taste of Tea, The (Cha no aji) (2004)"
510,Rocky Balboa (2006)
511,Paprika (Papurika) (2006)
512,5 Centimeters per Second (Byôsoku 5 senchimêtoru) (2007)
513,Ponyo (Gake no ue no Ponyo) (2008)
514,Departures (Okuribito) (2008)
515,Evangelion: 1.0 You Are (Not) Alone (Evangerion shin gekijôban: Jo) (2007)
516,Still Walking (Aruitemo aruitemo) (2008)
517,Evangelion: 2.0 You Can (Not) Advance (Evangerion shin gekijôban: Ha) (2009)
518,Into Eternity (2010)
519,"Disappearance of Haruhi Suzumiya, The (Suzumiya Haruhi no shôshitsu) (2010)"
520,I Wish (Kiseki) (2011)
521,Amour (2012)
522,Paperman (2012)
523,Redline (2009)
524,Pacific Rim (2013)
525,"Wind Rises, The (Kaze tachinu) (2013)"
526,"King and the Mockingbird, The (Le roi et l'oiseau) (1980)"
527,"Garden of Words, The (Koto no ha no niwa) (2013)"
528,Gunbuster (Top wo Narae) (1988)
529,"Tale of Princess Kaguya, The (Kaguyahime no monogatari) (2013)"
530,Hedgehog in the Fog (1975)
531,Cutie Honey (2004)
532,Ghost in the Shell: Stand Alone Complex - The Laughing Man (2005)
533,Sweet Red Bean Paste (2015)
534,Puella Magi Madoka Magica the Movie Part III: Rebellion (2013)
535,Creed (2015)
536,The Garden of Sinners - Chapter 2: …and nothing heart. (Murder Speculation Part A) (2007)
537,Terminator 2: Judgment Day (1991)
538,Independence Day (a.k.a. ID4) (1996)
539,Die Hard (1988)
540,Aliens (1986)
541,Cool Hand Luke (1967)
542,Willow (1988)
543,Pale Rider (1985)
544,Star Wars: Episode I - The Phantom Menace (1999)
545,"Christmas Story, A (1983)"
546,From Russia with Love (1963)
547,Dr. No (1962)
548,"Fistful of Dollars, A (Per un pugno di dollari) (1964)"
549,Papillon (1973)
550,Close Encounters of the Third Kind (1977)
551,Cat Ballou (1965)
552,Basic (2003)
553,Remo Williams: The Adventure Begins (1985)
554,"Pink Panther, The (1963)"
555,"Pink Panther Strikes Again, The (1976)"
556,Minority Report (2002)
557,"Man from Earth, The (2007)"
558,"Fall, The (2006)"
559,Dr. Horrible's Sing-Along Blog (2008)
560,"King's Speech, The (2010)"
561,Limitless (2011)
562,"Avengers, The (2012)"
563,Django Unchained (2012)
564,Guardians of the Galaxy (2014)
565,The Imitation Game (2014)
566,Citizenfour (2014)
567,Star Wars: Episode VII - The Force Awakens (2015)
568,Deadpool (2016)
569,The Martian (2015)
570,Inside Out (2015)
571,Batman Forever (1995)
572,"Net, The (1995)"
573,Stargate (1994)
574,While You Were Sleeping (1995)
575,Dances with Wolves (1990)
576,Grumpier Old Men (1995)
577,"American President, The (1995)"
578,Mr. Holland's Opus (1995)
579,Flirting With Disaster (1996)
580,Blue in the Face (1995)
581,Smoke (1995)
582,Hoop Dreams (1994)
583,Quiz Show (1994)
584,Four Weddings and a Funeral (1994)
585,"Bronx Tale, A (1993)"
586,Carlito's Way (1993)
587,In the Line of Fire (1993)
588,In the Name of the Father (1993)
589,"Man Without a Face, The (1993)"
590,Philadelphia (1993)
591,"Ref, The (1994)"
592,"Remains of the Day, The (1993)"
593,Six Degrees of Separation (1993)
594,Basquiat (1996)
595,"Maltese Falcon, The (1941)"
596,Big Night (1996)
597,Looking for Richard (1996)
598,Platoon (1986)
599,"Doors, The (1991)"
600,"Crying Game, The (1992)"
601,Glengarry Glen Ross (1992)
602,On Golden Pond (1981)
603,"Return of the Pink Panther, The (1975)"
604,When We Were Kings (1996)
605,Cinema Paradiso (Nuovo cinema Paradiso) (1989)
606,Amadeus (1984)
607,Raging Bull (1980)
608,Annie Hall (1977)
609,"Right Stuff, The (1983)"
610,"Graduate, The (1967)"
611,"Femme Nikita, La (Nikita) (1990)"
612,My Life as a Dog (Mitt liv som hund) (1985)
613,Field of Dreams (1989)
614,Butch Cassidy and the Sundance Kid (1969)
615,When Harry Met Sally... (1989)
616,Sneakers (1992)
617,Night Falls on Manhattan (1996)
618,"Game, The (1997)"
619,"Full Monty, The (1997)"
620,Stripes (1981)
621,Witness (1985)
622,He Got Game (1998)
623,Bulworth (1998)
624,Rocky (1976)
625,Chariots of Fire (1981)
626,Terms of Endearment (1983)
627,Out of Africa (1985)
628,Driving Miss Daisy (1989)
629,L.A. Story (1991)
630,"Jerk, The (1979)"
631,Grand Canyon (1991)
632,Indiana Jones and the Temple of Doom (1984)
633,"Lord of the Rings, The (1978)"
634,Return to Paradise (1998)
635,Broadcast News (1987)
636,Say Anything... (1989)
637,"Mighty, The (1998)"
638,Gods and Monsters (1998)
639,"Big Chill, The (1983)"
640,Fletch (1985)
641,Shakespeare in Love (1998)
642,Rocky II (1979)
643,"Karate Kid, The (1984)"
644,"Color of Money, The (1986)"
645,Analyze This (1999)
646,Cookie's Fortune (1999)
647,Mystery Men (1999)
648,"Mosquito Coast, The (1986)"
649,Big (1988)
650,Three Days of the Condor (3 Days of the Condor) (1975)
651,Reds (1981)
652,Crimes and Misdemeanors (1989)
653,Dead Again (1991)
654,"Verdict, The (1982)"
655,Moonstruck (1987)
656,"Natural, The (1984)"
657,Awakenings (1990)
658,Carnal Knowledge (1971)
659,M*A*S*H (a.k.a. MASH) (1970)
660,"Jungle Book, The (1967)"
661,Gone in 60 Seconds (2000)
662,Mighty Aphrodite (1995)
663,Murder in the First (1995)
664,"Piano, The (1993)"
665,Short Cuts (1993)
666,True Romance (1993)
667,"Thomas Crown Affair, The (1968)"
668,Fracture (2007)
669,8 Seconds (1994)
670,Top Gun (1986)
671,"Great Escape, The (1963)"
672,Titanic (1997)
673,Lady and the Tramp (1955)
674,Pretty in Pink (1986)
675,You've Got Mail (1998)
676,Hang 'Em High (1968)
677,"Searchers, The (1956)"
678,Interview with the Vampire: The Vampire Chronicles (1994)
679,Heavy Metal (1981)
680,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964)
681,"Abyss, The (1989)"
682,Mars Attacks! (1996)
683,Lost Highway (1997)
684,Starship Troopers (1997)
685,"X-Files: Fight the Future, The (1998)"
686,Dune (1984)
687,Tron (1982)
688,2010: The Year We Make Contact (1984)
689,Cocoon (1985)
690,"South Park: Bigger, Longer and Uncut (1999)"
691,RoboCop (1987)
692,Spaceballs (1987)
693,Freeway (1996)
694,"Brothers Bloom, The (2008)"
695,Addams Family Values (1993)
696,"Addams Family, The (1991)"
697,Rush Hour (1998)
698,Who Framed Roger Rabbit? (1988)
699,Galaxy Quest (1999)
700,Milagro Beanfield War (1988)
701,48 Hrs. (1982)
702,"Hitchhiker's Guide to the Galaxy, The (2005)"
703,Men in Black III (M.III.B.) (M.I.B.³) (2012)
704,"Apartment, The (1960)"
705,Jurassic Park (1993)
706,Toy Story 3 (2010)
707,Remember the Titans (2000)
708,Blow (2001)
709,The Big Sick (2017)
710,Toy Story (1995)
711,Babe (1995)
712,Much Ado About Nothing (1993)
713,"Hate (Haine, La) (1995)"
714,Once Upon a Time in the West (C'era una volta il West) (1968)
715,Full Metal Jacket (1987)
716,"Deer Hunter, The (1978)"
717,Magnolia (1999)
718,"Beat That My Heart Skipped, The (battre mon coeur s'est arrêté, De) (2005)"
719,C.R.A.Z.Y. (2005)
720,Babel (2006)
721,Eastern Promises (2007)
722,"Wrestler, The (2008)"
723,"Prophet, A (Un Prophète) (2009)"
724,Drive (2011)
725,Argo (2012)
726,Prisoners (2013)
727,Boyhood (2014)
728,"Bridges of Madison County, The (1995)"
729,Amores Perros (Love's a Bitch) (2000)
730,"Man Without a Past, The (Mies vailla menneisyyttä) (2002)"
731,"Good Night, and Good Luck. (2005)"
732,Syriana (2005)
733,Senna (2010)
734,Pee-wee's Big Adventure (1985)
735,Kalifornia (1993)
736,Vertigo (1958)
737,"Thin Blue Line, The (1988)"
738,Cop Land (1997)
739,Touching the Void (2003)
740,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan (2006)
741,Hackers (1995)
742,"Crow, The (1994)"
743,Fallen (1998)
744,Payback (1999)
745,8MM (1999)
746,Eyes Wide Shut (1999)
747,Excalibur (1981)
748,"Dirty Dozen, The (1967)"
749,Snake Eyes (1998)
750,Total Recall (1990)
751,Clerks (1994)
752,Henry V (1989)
753,"Man Who Knew Too Little, The (1997)"
754,Unbreakable (2000)
755,No Man's Land (2001)
756,Ikiru (1952)
757,Lupin III: The Castle Of Cagliostro (Rupan sansei: Kariosutoro no shiro) (1979)
758,Manufacturing Consent: Noam Chomsky and the Media (1992)
759,"Corporation, The (2003)"
760,Million Dollar Baby (2004)
761,Enron: The Smartest Guys in the Room (2005)
762,Why We Fight (2005)
763,Pirates of the Caribbean: Dead Man's Chest (2006)
764,Underworld: Rise of the Lycans (2009)
765,"Fast & Furious (Fast and the Furious 4, The) (2009)"
766,"Book of Eli, The (2010)"
767,Kick-Ass (2010)
768,Iron Man 2 (2010)
769,"Sorcerer's Apprentice, The (2010)"
770,Megamind (2010)
771,Paul (2011)
772,Thor (2011)
773,"Fast Five (Fast and the Furious 5, The) (2011)"
774,X-Men: First Class (2011)
775,Super 8 (2011)
776,Green Lantern (2011)
777,Captain America: The First Avenger (2011)
778,Rise of the Planet of the Apes (2011)
779,Sherlock Holmes: A Game of Shadows (2011)
780,John Carter (2012)
781,Ted (2012)
782,Skyfall (2012)
783,Silver Linings Playbook (2012)
784,"Hobbit: An Unexpected Journey, The (2012)"
785,Jack Reacher (2012)
786,Captain America: Civil War (2016)
787,Antonia's Line (Antonia) (1995)
788,Once Upon a Time... When We Were Colored (1995)
789,Courage Under Fire (1996)
790,"Hunchback of Notre Dame, The (1996)"
791,Lone Star (1996)
792,Emma (1996)
793,Rear Window (1954)
794,"Affair to Remember, An (1957)"
795,Mr. Smith Goes to Washington (1939)
796,Bringing Up Baby (1938)
797,"African Queen, The (1951)"
798,"Day the Earth Stood Still, The (1951)"
799,Arsenic and Old Lace (1944)
800,Fried Green Tomatoes (1991)
801,Forbidden Planet (1956)
802,Mister Roberts (1955)
803,Little Big Man (1970)
804,Harvey (1950)
805,"Grapes of Wrath, The (1940)"
806,"Cider House Rules, The (1999)"
